날짜,순위,영화명,개봉일,매출액,매출액점유율,매출액증감(전일대비),매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20180917(),1,서치,2018-08-29,438376150,0.353,-1270087200,-0.743000000000000015466794511809212053776718676090240478515625,21992665495,53551,-134173,-0.715000000000000014883927423881004870054312050342559814453125,2570854,876,4635,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,드라마,아니쉬 차간티,"존 조,데브라 메싱"
20180917(),2,물괴,2018-09-12,298453300,0.24100000000000002,-1031988800,-0.776000000000000016153745008296027663163840770721435546875000,5525269854,37946,-113064,-0.749000000000000015591694602079542164574377238750457763671875,652061,1035,5275,한국,한국,(주)태원엔터테인먼트,"롯데컬처웍스(주)롯데엔터테인먼트,씨네그루(주)키다리이엔티",15세이상관람가,"액션,사극",허종호,"김명민,김인권,이혜리,최우식,박성웅,박희순,이경영"
20180917(),3,너의 결혼식,2018-08-22,141409750,0.114,-334604300,-0.703000000000000014634127243340344648458994925022125244140625,23426403819,17577,-35436,-0.668000000000000013905543383430085668805986642837524414062500,2790121,572,2100,한국,한국,"(주)필름케이,(주)외유내강",메가박스중앙(주)플러스엠,12세이상관람가,멜로/로맨스,이석근,"박보영,김영광,강기영,장성범,고규필,서은수,차엽,안길강"
20180917(),4,더 프레데터,2018-09-12,86240600,0.07,-209141250,-0.708000000000000014738210651898953074123710393905639648437500,1412282214,10563,-21255,-0.668000000000000013905543383430085668805986642837524414062500,159961,512,2155,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"SF,액션,스릴러",쉐인 블랙,"올리비아 문,보이드 홀브룩,트레반트 로즈,스털링 K. 브라운,제이콥 트렘블레이"
20180917(),5,안시성,2018-09-19,53218400,0.043,53218400,1.00000000000000002081668171172168513294309377670288085937500,179381300,5806,5806,1.00000000000000002081668171172168513294309377670288085937500,20715,31,31,한국,한국,"(주)영화사수작,(주)스튜디오앤뉴,주식회사 모티브랩",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"사극,액션",김광식,"이태진,조인성,남주혁,박성웅,배성우,엄태구,설현,박병은,오대환,성동일,정은채,유오성,김미지,여윤호,박인수,이승일"
20180917(),6,협상,2018-09-19,46243000,0.037000000000000005,46243000,1.00000000000000002081668171172168513294309377670288085937500,147076000,5492,5492,1.00000000000000002081668171172168513294309377670288085937500,16976,27,27,한국,한국,"(주)제이케이필름,그리고픽처스,씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,범죄,이종석,"현빈,손예진,김상호,장영남,장광,조영진,이문식"
20180917(),7,업그레이드,2018-09-06,38632400,0.031,-95856900,-0.713000000000000014842294060457561499788425862789154052734375,1679944700,4515,-9557,-0.679000000000000014134526882259024205268360674381256103515625,182668,164,587,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,액션,리 워넬,"로건 마샬-그린,해리슨 길벗슨"
20180917(),8,암수살인,2018-10-03,35780000,0.028999999999999998,35780000,1.00000000000000002081668171172168513294309377670288085937500,74478000,4200,4200,1.00000000000000002081668171172168513294309377670288085937500,8921,19,19,한국,한국,"(주)필름295,(주)블러썸픽쳐스",(주)쇼박스,15세이상관람가,"범죄,드라마",김태균,"김윤석,주지훈,문정희,진선규,이재현"
20180917(),9,맘마미아!2,2018-08-08,21351450,0.017,-38366950,-0.642000000000000013364309658925321855349466204643249511718750,19521343703,2688,-3896,-0.592000000000000012323475573339237598702311515808105468750000,2283015,185,345,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,뮤지컬,올 파커,"아만다 사이프리드,릴리 제임스,메릴 스트립,피어스 브로스넌,제레미 어바인,콜린 퍼스,휴 스키너,스텔란 스카스가드,조쉬 딜란,줄리 월터스,알렉사 데이비스,크리스틴 바란스키,제시카 키나 윈,도미닉 쿠퍼,셰어,앤디 가르시아"
20180917(),10,상류사회,2018-08-29,17937900,0.013999999999999999,-23839000,-0.571000000000000011886325257393082210910506546497344970703125,6271555363,2336,-2320,-0.498000000000000010366707492437399196205660700798034667968750,763097,297,469,한국,한국,(주)하이브미디어코프,롯데컬처웍스(주)롯데엔터테인먼트,청소년관람불가,드라마,변혁,"박해일,수애,윤제문,라미란,이진욱,김규선,한주영,김강우"
20180917(),11,신과함께-인과 연,2018-08-01,16929850,0.013999999999999999,-33166300,-0.662000000000000013780643293159755558008328080177307128906250,102604941559,2192,-3347,-0.604000000000000012573275753879897820297628641128540039062500,12267009,213,337,한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,주지훈,김향기,마동석,김동욱,이정재,김기태,오희준,도경수,이준혁"
20180917(),12,명당,2018-09-19,10401000,0.0080,10401000,1.00000000000000002081668171172168513294309377670288085937500,72102000,1409,1409,1.00000000000000002081668171172168513294309377670288085937500,9008,6,6,한국,한국,(주)주피터필름,메가박스중앙(주)플러스엠,12세이상관람가,사극,박희곤,"조승우,지성,김성균,백윤식,문채원,유재명,박충선,이원근,김민재,강태오"
