날짜,순위,영화명,개봉일,매출액,매출액점유율,매출액증감(전일대비),매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20180307(수),1,사라진 밤,2018-03-07,438121700,0.301,407054800,13.103000000000000272760980468689240296953357756137847900390625,500164600,57161,53185,13.377000000000000278464751257700982023379765450954437255859375,65384,697,3388,한국,한국,"(주)싸이더스,(주)엠씨엠씨,(주)더블앤조이픽쳐스",씨네그루(주)키다리이엔티,15세이상관람가,스릴러,이창희,"김상경,김강우,김희애,서현우"
20180307(수),2,궁합,2018-02-28,299106100,0.20600000000000002,-94118800,-0.239000000000000004975186929101482746773399412631988525390625,8409625015,40867,-12502,-0.234000000000000004871103520542874321108683943748474121093750,1078050,748,3423,한국,한국,(주)주피터필름,씨제이이앤엠(주),12세이상관람가,"코미디,드라마",홍창표,"심은경,이승기,김상경,연우진,강민혁,최우식,조복래,최민호,박선영,이한서,윤송아,이선빈"
20180307(수),3,리틀 포레스트,2018-02-28,303065600,0.20800000000000002,-56422100,-0.157000000000000003268219028740304565872065722942352294921875,6440466130,40047,-7829,-0.164000000000000003413935800722356361802667379379272460937500,825331,667,3101,한국,한국,(주)영화사수박,메가박스중앙(주)플러스엠,전체관람가,드라마,임순례,"김태리,류준열,문소리,진기주,홍성덕"
20180307(수),4,블랙 팬서,2018-02-14,124969000,0.086,-42456200,-0.254000000000000005287437154777308023767545819282531738281250,44745465357,16010,-5340,-0.25000000000000000520417042793042128323577344417572021484375,5258930,508,1773,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,드라마,SF",라이언 쿠글러,"채드윅 보스만,마이클 B. 조던,루피타 뇽오,다네이 거라이라,마틴 프리먼,안젤라 바셋,포레스트 휘테커,앤디 서키스,레티티아 라이트,다니엘 칼루야,윈스턴 듀크"
20180307(수),5,셰이프 오브 워터: 사랑의 모양,2018-02-22,85902300,0.059000000000000004,-21754400,-0.202000000000000004204969705767780396854504942893981933593750,3020177100,11064,-3491,-0.24000000000000000499600361081320443190634250640869140625000,364695,258,693,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"어드벤처,판타지",기예르모 델 토로,"샐리 호킨스,마이클 섀넌,리차드 젠킨스,더그 존스,마이클 스털버그,옥타비아 스펜서"
20180307(수),6,온리 더 브레이브,2018-03-07,70006000,0.048,67504500,26.986000000000000561758972672521394997602328658103942871093750,89692500,9193,8784,21.477000000000000447079873122646631600218825042247772216796875,11674,283,746,미국,미국,,㈜코리아스크린,12세이상관람가,드라마,조셉 코신스키,"조슈 브롤린,마일즈 텔러,제프 브리지스,제임스 뱃지 데일,테일러 키취,제니퍼 코넬리"
20180307(수),7,레드 스패로,2018-02-28,21986100,0.015,-25740900,-0.539000000000000011220191442617988286656327545642852783203125,774927800,2938,-3465,-0.541000000000000011261824806041431656922213733196258544921875,97728,207,354,미국,미국,,이십세기폭스코리아(주),청소년관람불가,스릴러,프란시스 로렌스,"제니퍼 로렌스,조엘 에저튼,마티아스 쇼에나에츠,샬롯 램플링,메리-루이스 파커,제레미 아이언스"
20180307(수),8,50가지 그림자: 해방,2018-02-21,19224500,0.013000000000000001,-5516700,-0.223000000000000004642120021713935784646309912204742431640625,1717755100,2402,-731,-0.233000000000000004850286838831152635975740849971771240234375,200435,105,259,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"드라마,멜로/로맨스,스릴러",제임스 폴리,"다코타 존슨,제이미 도넌"
20180307(수),9,게이트,2018-02-28,17868500,0.012,-22910300,-0.562000000000000011698975121987587044714018702507019042968750,728037400,2295,-2850,-0.554000000000000011532441668293813563650473952293395996093750,88847,114,341,한국,한국,삼삼공구 브라더스,(주)제이앤씨미디어그룹,15세이상관람가,"범죄,코미디",신재호,"정려원,임창정,정상훈,이경영,이문식,이세랑,윤송아"
20180307(수),10,치즈인더트랩,2018-03-14,16600000,0.011000000000000001,16600000,1.00000000000000002081668171172168513294309377670288085937500,16600000,2074,2074,1.00000000000000002081668171172168513294309377670288085937500,2074,5,7,한국,한국,(주)마운틴무브먼트스토리,(주)리틀빅픽쳐스,15세이상관람가,"멜로/로맨스,스릴러",김제영,"박해진,오연서,박기웅,유인영,오종혁,박산다라,문지윤,김현진,김도완,전준영"
20180307(수),11,덕구,2018-04-05,16200000,0.011000000000000001,16200000,1.00000000000000002081668171172168513294309377670288085937500,16200000,2025,2025,1.00000000000000002081668171172168513294309377670288085937500,2025,9,9,한국,한국,"(주)영화사두둥,(주)곰픽쳐스",메가박스중앙(주)플러스엠,전체관람가,드라마,방수인,"이순재,정지훈,장광,성병숙,차순배,박지윤,윤송아"
