날짜,순위,영화명,개봉일,매출액,매출액점유율,매출액증감(전일대비),매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20180913(목),1,물괴,2018-09-12,622177100,0.345,-217303850,-0.259000000000000005391520563335916449432261288166046142578125,1525775550,79136,-26153,-0.248000000000000005162537064506977912969887256622314453125000,191862,1152,6391,한국,한국,(주)태원엔터테인먼트,"롯데컬처웍스(주)롯데엔터테인먼트,씨네그루(주)키다리이엔티",15세이상관람가,"액션,사극",허종호,"김명민,김인권,이혜리,최우식,박성웅,박희순,이경영"
20180913(목),2,서치,2018-08-29,504528000,0.27899999999999997,-31329850,-0.058000000000000001207367539279857737710699439048767089843750,16969892063,61169,-3941,-0.061000000000000001269817584415022793109528720378875732421875,2012086,776,3919,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,드라마,아니쉬 차간티,"존 조,데브라 메싱"
20180913(목),3,더 프레데터,2018-09-12,175000050,0.09699999999999999,-60780150,-0.258000000000000005370703881624194764299318194389343261718750,415971250,21414,-7512,-0.26000000000000000541233724504763813456520438194274902343750,50967,582,2728,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"SF,액션,스릴러",쉐인 블랙,"올리비아 문,보이드 홀브룩,트레반트 로즈,스털링 K. 브라운,제이콥 트렘블레이"
20180913(목),4,너의 결혼식,2018-08-22,166675250,0.092,-13126500,-0.073000000000000001519617764955683014704845845699310302734375,21996956937,20615,-1743,-0.078000000000000001623701173514291440369561314582824707031250,2627997,541,1891,한국,한국,"(주)필름케이,(주)외유내강",메가박스중앙(주)플러스엠,12세이상관람가,멜로/로맨스,이석근,"박보영,김영광,강기영,장성범,고규필,서은수,차엽,안길강"
20180913(목),5,안시성,2018-09-19,53821000,0.03,27802000,1.069000000000000022253032749830481407116167247295379638671875,82276000,7425,4534,1.568000000000000032640556923979602288454771041870117187500000,10722,29,29,한국,한국,"(주)영화사수작,(주)스튜디오앤뉴,주식회사 모티브랩",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"사극,액션",김광식,"이태진,조인성,남주혁,박성웅,배성우,엄태구,설현,박병은,오대환,성동일,정은채,유오성,김미지,여윤호,박인수,이승일"
20180913(목),6,업그레이드,2018-09-06,44932500,0.025,-6786200,-0.131000000000000002726985304235540752415545284748077392578125,1287995900,5270,-734,-0.122000000000000002539635168830045586219057440757751464843750,141053,160,621,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,액션,리 워넬,"로건 마샬-그린,해리슨 길벗슨"
20180913(목),7,협상,2018-09-19,41151000,0.023,41151000,1.00000000000000002081668171172168513294309377670288085937500,86411000,4971,4971,1.00000000000000002081668171172168513294309377670288085937500,10023,23,23,한국,한국,"(주)제이케이필름,그리고픽처스,씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,범죄,이종석,"현빈,손예진,김상호,장영남,장광,조영진,이문식"
20180913(목),8,암수살인,2018-10-03,30564000,0.017,25566000,5.115000000000000106477326955456419455003924667835235595703125,35562000,3559,2845,3.985000000000000082954476621210915254778228700160980224609375,4273,14,14,한국,한국,"(주)필름295,(주)블러썸픽쳐스",(주)쇼박스,15세이상관람가,"범죄,드라마",김태균,"김윤석,주지훈,문정희,진선규,이재현"
20180913(목),9,상류사회,2018-08-29,27477650,0.015,-1171150,-0.041000000000000000853483950180589090450666844844818115234375,6127283663,3507,-197,-0.053000000000000001103284130721249312045983970165252685546875,746612,334,539,한국,한국,(주)하이브미디어코프,롯데컬처웍스(주)롯데엔터테인먼트,청소년관람불가,드라마,변혁,"박해일,수애,윤제문,라미란,이진욱,김규선,한주영,김강우"
20180913(목),10,더 넌,2018-09-19,28431000,0.016,28431000,1.00000000000000002081668171172168513294309377670288085937500,31185000,3175,3175,1.00000000000000002081668171172168513294309377670288085937500,3481,17,17,미국,미국,,워너브러더스 코리아(주),15세이상관람가,공포(호러),코린 하디,"타이사 파미가,데미안 비쉬어,보니 아론스,샬롯 호프"
20180913(목),11,맘마미아!2,2018-08-08,24021150,0.013000000000000001,1655300,0.074000000000000001540434446667404699837788939476013183593750,19345998053,2982,102,0.035000000000000000728583859910258979653008282184600830078125,2263404,163,279,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,뮤지컬,올 파커,"아만다 사이프리드,릴리 제임스,메릴 스트립,피어스 브로스넌,제레미 어바인,콜린 퍼스,휴 스키너,스텔란 스카스가드,조쉬 딜란,줄리 월터스,알렉사 데이비스,크리스틴 바란스키,제시카 키나 윈,도미닉 쿠퍼,셰어,앤디 가르시아"
20180913(목),12,신과함께-인과 연,2018-08-01,20439350,0.011000000000000001,-578400,-0.028000000000000000582867087928207183722406625747680664062500,102458737209,2723,-104,-0.037000000000000000770217223333702349918894469738006591796875,12250222,206,303,한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,주지훈,김향기,마동석,김동욱,이정재,김기태,오희준,도경수,이준혁"
20180913(목),13,명당,2018-09-19,21240000,0.012,-1327000,-0.059000000000000001228184220991579422843642532825469970703125,59991000,2405,-173,-0.067000000000000001394717674685352903907187283039093017578125,7409,13,15,한국,한국,(주)주피터필름,메가박스중앙(주)플러스엠,12세이상관람가,사극,박희곤,"조승우,지성,김성균,백윤식,문채원,유재명,박충선,이원근,김민재,강태오"
20180913(목),14,공작,2018-08-08,11323300,0.0060,2635600,0.303000000000000006307454558651670595281757414340972900390625,42696812776,1801,620,0.525000000000000010928757898653884694795124232769012451171875,4962181,140,181,한국,한국,"(주)영화사 월광,(주)사나이픽처스",씨제이이앤엠(주),12세이상관람가,드라마,윤종빈,"황정민,이성민,조진웅,주지훈,김대현"
20180913(목),15,양말요정 휴고의 대모험,2018-09-06,5272000,0.0030,1778200,0.509000000000000010595690991266337732668034732341766357421875,147971000,911,315,0.529000000000000011012024625500771435326896607875823974609375,21692,23,23,체코,"체코,슬로바키아,크로아티아",,와이드 릴리즈(주),전체관람가,"어드벤처,애니메이션",갈리나 미클리노바,"조연우,박상우,이민형,송영인,방지원"
20180913(목),16,바니부기: 드래곤 에그를 찾아서,2018-09-12,4431700,0.0020,1980700,0.808000000000000016819878823071121587418019771575927734375000,11372700,752,417,1.245000000000000025916768731093497990514151751995086669921875,1587,98,101,중국,중국,,(주)박수엔터테인먼트,전체관람가,"애니메이션,어드벤처",리양우,
20180913(목),17,SESIFF2018 문래초등학교 단체 관람 : 3 & 4학년,,2676000,0.0010,2676000,1.00000000000000002081668171172168513294309377670288085937500,2676000,446,446,1.00000000000000002081668171172168513294309377670288085937500,446,2,2,기타,기타,,,,기타,,
20180913(목),18,나를 차버린 스파이,2018-08-22,3374000,0.0020,-235500,-0.065000000000000001353084311261909533641301095485687255859375,2314364000,400,-25,-0.059000000000000001228184220991579422843642532825469970703125,261325,29,43,미국,미국,,(주)누리픽쳐스,15세이상관람가,"액션,코미디",수잔나 포겔,"밀라 쿠니스,케이트 맥키넌"
20180913(목),19,목격자,2018-08-15,2029750,0.0010,-9643350,-0.826000000000000017194579093882111919810995459556579589843750,21709809297,254,-1075,-0.809000000000000016840695504782843272550962865352630615234375,2521038,53,75,한국,한국,(주)에이디사공육,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,스릴러,조규장,"이성민,김상호,진경,곽시양"
20180913(목),20,미쓰백,2018-10-11,1482000,0.0010,1482000,1.00000000000000002081668171172168513294309377670288085937500,7246000,247,247,1.00000000000000002081668171172168513294309377670288085937500,1033,1,1,한국,한국,영화사 배,(주)리틀빅픽쳐스,15세이상관람가,드라마,이지원,"한지민,김시아,이희준,권소현,백수장,장영남,김선영,이주영,이정은,전석호,조민준,윤송아"
20180913(목),21,불멸의 연인,1995-01-28,454000,0.0,-160000,-0.261000000000000005433153926759359819698147475719451904296875,4403000,227,-80,-0.261000000000000005433153926759359819698147475719451904296875,2050,1,4,미국,미국,"아이콘엔터테인먼트인터내셔널,머제스틱 필름즈 인터내셔널",,고등학생이상관람가,드라마,버나드 로즈,"게리 올드만,예로엔 크라베,이사벨라 로셀리니"
20180913(목),22,피쉬 프렌즈: 알록이의 신기한 모험,2018-08-30,1217000,0.0010,-144000,-0.106000000000000002206568261442498624091967940330505371093750,172743100,216,-54,-0.20000000000000000416333634234433702658861875534057617187500,25377,8,8,터키,터키,,(주)박수엔터테인먼트,전체관람가,"애니메이션,어드벤처",부르한 군,
20180913(목),23,젊은엄마네하숙집,2018-09-13,894000,0.0,894000,1.00000000000000002081668171172168513294309377670288085937500,894000,204,204,1.00000000000000002081668171172168513294309377670288085937500,204,20,20,한국,한국,(주)로드하우스,(주)로드하우스,청소년관람불가,멜로/로맨스,김종민,이채담
20180913(목),24,위대한 카루소,,374000,0.0,374000,1.00000000000000002081668171172168513294309377670288085937500,4381000,187,187,1.00000000000000002081668171172168513294309377670288085937500,2158,1,4,미국,미국,,,,드라마,리처드 소프,"마리오 란자,앤 블리스"
20180913(목),25,SESIFF2018 경쟁1_사랑에 대한 모든 것,,785000,0.0,749000,20.806000000000000433111879694081380876014009118080139160156250,821000,131,125,20.833000000000000433673930100297866374603472650051116943359375,137,2,2,기타,기타,,,,기타,,
20180913(목),26,SESIFF2018 경쟁8_구원에의 갈망,,744000,0.0,732000,61.00000000000000126981758441502279310952872037887573242187500,756000,124,122,61.00000000000000126981758441502279310952872037887573242187500,126,1,1,기타,기타,,,,기타,,
20180913(목),27,SESIFF2018 경쟁2_삶의 흑과 백,,733200,0.0,567600,3.428000000000000071359584907781936635728925466537475585937500,898800,123,94,3.241000000000000067466865427689981515868566930294036865234375,152,1,2,기타,기타,,,,기타,,
20180913(목),27,"SESIFF2018 경쟁9_상상, 그 너머에",,738000,0.0,722000,45.125000000000000939352762241441041624057106673717498779296875,754000,123,120,40.00000000000000083266726846886740531772375106811523437500000,126,1,1,기타,기타,,,,기타,,
20180913(목),29,SESIFF2018 경쟁3_나는 아무것도 보지 못했다,,729000,0.0,675000,12.50000000000000026020852139652106416178867220878601074218750,783000,122,112,11.20000000000000023314683517128287348896265029907226562500000,132,2,2,기타,기타,,,,기타,,
20180913(목),30,SESIFF2018 경쟁7_21세기의 가족,,726000,0.0,696000,23.20000000000000048294701571194309508427977561950683593750000,756000,121,116,23.20000000000000048294701571194309508427977561950683593750000,126,1,1,기타,기타,,,,기타,,
20180913(목),31,극장판 헬로카봇 : 백악기 시대,2018-08-01,628000,0.0,372000,1.453000000000000030246638527131608498166315257549285888671875,6571458150,117,80,2.162000000000000045005665860742283257422968745231628417968750,876386,6,10,한국,한국,(주)초이락컨텐츠팩토리,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"최신규,김진철","이지현,김용준,양정화,홍범기,엄상현,사문영,위훈,민응식,신용우,안소이,한신,이현,김상백,임정길,김두용"
20180913(목),32,몬스터 호텔 3,2018-08-08,553000,0.0,-95500,-0.147000000000000003060052211623087714542634785175323486328125,7905163300,107,-14,-0.116000000000000002414735078559715475421398878097534179687500,1068629,5,6,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,"애니메이션,코미디,가족,판타지",젠디 타타코브스키,"아담 샌들러,셀레나 고메즈,앤디 샘버그,스티브 부세미,케빈 제임스,캐서린 한"
20180913(목),33,엄마친구들 2,2018-09-13,531000,0.0,531000,1.00000000000000002081668171172168513294309377670288085937500,531000,102,102,1.00000000000000002081668171172168513294309377670288085937500,102,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,임현태,
20180913(목),34,맞짱,2018-09-12,198000,0.0,-70000,-0.261000000000000005433153926759359819698147475719451904296875,466000,83,-51,-0.381000000000000007931155732165962035651318728923797607421875,217,11,11,한국,한국,(주)차룡영화사,(주)차룡영화사,청소년관람불가,"액션,범죄",차룡,"최태환,양은용,차룡,윤용현"
20180913(목),35,마음의 등불,,152000,0.0,152000,1.00000000000000002081668171172168513294309377670288085937500,7163000,76,76,1.00000000000000002081668171172168513294309377670288085937500,3574,1,3,미국,미국,유니버셜 픽쳐스,,15세이상관람가,드라마,더글라스 서크,
20180913(목),36,SESIFF2018 브뤼셀 단편 영화제 특별전,,450000,0.0,153000,0.515000000000000010720591081536667843465693295001983642578125,747000,75,24,0.471000000000000009804657086220913697616197168827056884765625,126,1,1,기타,기타,,,,기타,,
20180913(목),37,미션 임파서블: 폴아웃,2018-07-25,598500,0.0,162700,0.373000000000000007764622278472188554587773978710174560546875,55868308312,70,17,0.321000000000000006682154829462660927674733102321624755859375,6582536,4,5,미국,미국,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"액션,스릴러",크리스토퍼 맥쿼리,"톰 크루즈,레베카 퍼거슨,바네사 커비,미셸 모나한,헨리 카빌,안젤라 바셋,사이먼 페그,알렉 볼드윈"
20180913(목),38,이야기,,378000,0.0,378000,1.00000000000000002081668171172168513294309377670288085937500,378000,54,54,1.00000000000000002081668171172168513294309377670288085937500,54,1,1,미국,"미국,독일",,,,드라마,제니퍼 폭스,
20180913(목),38,컨트롤 알트 딜리트,2018-09-13,270000,0.0,270000,1.00000000000000002081668171172168513294309377670288085937500,270000,54,54,1.00000000000000002081668171172168513294309377670288085937500,54,1,1,미국,미국,,(주)티에스앤컴퍼니,15세이상관람가,"드라마,스릴러",제임스 B. 콕스,애덤 샤피로
