날짜,순위,영화명,개봉일,매출액,매출액점유율,매출액증감(전일대비),매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20170323(목),1,프리즌,2017-03-23,1257773300,0.493,596526500,0.902000000000000018776646903972959989914670586585998535156250,2119361100,168336,83280,0.979000000000000020379531395775529745151288807392120361328125,276490,909,4234,한국,한국,(주)큐로홀딩스,(주)쇼박스,청소년관람불가,"범죄,액션",나현,"한석규,김래원,정웅인,조재윤,신성록,곽민호,박영준,임경욱,장한승,신영진,지동주,유정호,윤세현,천재성,이상민,이수민,이용직,이재수,이정수,이정훈,홍도성,김성종,연송하,이재균,차엽,서호철"
20170323(목),2,미녀와 야수,2017-03-16,779664700,0.305,-180272900,-0.188000000000000003913536161803676804993301630020141601562500,17239393549,99762,-24253,-0.196000000000000004080069615497450286056846380233764648437500,2075794,896,4063,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"멜로/로맨스,판타지,뮤지컬",빌 콘돈,"엠마 왓슨,댄 스티븐스,루크 에반스,이완 맥그리거,이안 맥켈런,엠마 톰슨,구구 바샤-로,케빈 클라인,스탠리 투치"
20170323(목),3,보통사람,2017-03-23,248145500,0.09699999999999999,239355500,27.23000000000000056683824301018148617004044353961944580078125,296281500,35583,34494,31.675000000000000659368393218784376585972495377063751220703125,41979,621,2604,한국,한국,"(주)트리니티엔터테인먼트,(주)영화사장춘",오퍼스픽쳐스,15세이상관람가,드라마,김봉한,"손현주,장혁,김상호,라미란,정만식,조달환,지승현,오연아,강현구,이학렬,이형기,박형수,서주연,정원태,양재영,윤준호,이영호,이유진,이승용,김영"
20170323(목),4,히든 피겨스,2017-03-23,117138800,0.046,113591800,32.025000000000000666654231817886966382502578198909759521484375,243723600,15834,15457,41.00000000000000085348395018058909045066684484481811523437500,31076,419,1241,미국,미국,,이십세기폭스코리아(주),12세이상관람가,드라마,데오도르 멜피,"타라지 P. 헨슨,옥타비아 스펜서,케빈 코스트너,커스틴 던스트,짐 파슨스"
20170323(목),5,콩: 스컬 아일랜드,2017-03-08,41786200,0.016,-64987800,-0.609000000000000012677359162438506245962344110012054443359375,13405498883,5696,-8811,-0.607000000000000012635725799015062875696457922458648681640625,1615586,386,783,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처,판타지",조던 복트-로버츠,"톰 히들스턴,브리 라슨,사무엘 L. 잭슨,존 굿맨"
20170323(목),6,로건,2017-03-01,28473600,0.011000000000000001,-63047600,-0.689000000000000014342693699376241056597791612148284912109375,18115457623,3778,-8494,-0.692000000000000014405143744511406111996620893478393554687500,2135747,212,324,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"액션,SF",제임스 맨골드,"휴 잭맨,패트릭 스튜어트,보이드 홀브룩,스테판 머천트,리차드 E. 그랜트,에릭 라 살,엘리스 닐"
20170323(목),7,원라인,2017-03-29,23384000,0.009000000000000001,23384000,1.00000000000000002081668171172168513294309377670288085937500,37454000,2923,2923,1.00000000000000002081668171172168513294309377670288085937500,4848,9,9,한국,한국,"(주)미인픽쳐스,(주)곽픽쳐스",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,범죄,양경모,"임시완,진구,박병은,이동휘,김선영,박종환,왕지원,박유환,안세하,조우진,박형수,박건도,박지홍,안지현,유요한,이도현,최창국,이석호,한민철,이영호,홍성호,김말구,김태준,김근영,임지환,김대현,황성준"
20170323(목),8,극장판 암살교실 : 365일의 시간,2017-03-23,16298000,0.0060,16298000,1.00000000000000002081668171172168513294309377670288085937500,18754000,2240,2240,1.00000000000000002081668171172168513294309377670288085937500,2524,86,151,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,애니메이션,키시 세이지,
20170323(목),9,라라랜드,2016-12-07,8921800,0.0030,-16474900,-0.649000000000000013510026430907373651280067861080169677734375,28952177433,1225,-2239,-0.646000000000000013447576385772208595881238579750061035156250,3465374,64,75,미국,미국,,판씨네마(주),12세이상관람가,"드라마,뮤지컬,멜로/로맨스",데이미언 셔젤,"엠마 스톤,라이언 고슬링,핀 위트록,J.K. 시몬스,로즈마리 드윗"
20170323(목),10,패트리어트 데이,2017-04-06,10168000,0.0040,10168000,1.00000000000000002081668171172168513294309377670288085937500,36288000,1213,1213,1.00000000000000002081668171172168513294309377670288085937500,4329,5,5,미국,미국,,(주)이수C&E;,15세이상관람가,"드라마,스릴러",피터 버그,"마크 월버그,존 굿맨,케빈 베이컨,J.K. 시몬스,미셸 모나한"
