날짜,순위,영화명,개봉일,매출액,매출액점유율,매출액증감(전일대비),매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20180402(),1,곤지암,2018-03-28,844662000,0.424,-2203034300,-0.723000000000000015050460877574778351117856800556182861328125,11591529774,109505,-264331,-0.707000000000000014717393970187231388990767300128936767578125,1476885,927,4797,한국,한국,(주)하이브미디어코프,(주)쇼박스,15세이상관람가,"공포(호러),스릴러",정범식,"위하준,박지현,오아연,문예원,박성훈,이승욱,유제윤"
20180402(),2,레디 플레이어 원,2018-03-28,629486200,0.316,-1908769050,-0.752000000000000015654144647214707219973206520080566406250000,9166143279,74329,-208852,-0.738000000000000015362711103250603628112003207206726074218750,1061038,959,4147,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,SF,어드벤처",스티븐 스필버그,"마크 라이런스,사이먼 페그,올리비아 쿡,타이 쉐리던,벤 멘델슨,T.J. 밀러"
20180402(),3,지금 만나러 갑니다,2018-03-14,210665700,0.106,-538894300,-0.719000000000000014967194150727891610586084425449371337890625,18802161703,28444,-62368,-0.687000000000000014301060335952797686331905424594879150390625,2349675,655,2446,한국,한국,"(주)무비락,(주)도서관옆스튜디오,(주)푸른나무픽쳐스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,멜로/로맨스,이장훈,"소지섭,손예진,김지환,고창석,이유진,김현수,배유람,이준혁,서정연,손여은"
20180402(),4,7년의 밤,2018-03-28,181766900,0.091,-487448800,-0.728000000000000015154544286133386776782572269439697265625000,3330432624,24482,-55553,-0.694000000000000014446777107934849482262507081031799316406250,442604,608,2374,한국,한국,"(주)바른손,씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,"스릴러,드라마",추창민,"류승룡,장동건,송새벽,고경표,이레,탕준상,이상희,문정희,서현우"
20180402(),5,퍼시픽 림: 업라이징,2018-03-21,47685500,0.024,-157610300,-0.768000000000000015987211554602254182100296020507812500000000,8821106395,6320,-19140,-0.752000000000000015654144647214707219973206520080566406250000,1058706,427,1025,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,어드벤처,SF",스티븐 S. 드나이트,"존 보예가,스콧 이스트우드,케일리 스패니,아드리아 아르조나,번 고먼,찰리 데이,경첨,키쿠치 린코"
20180402(),6,막달라 마리아: 부활의 증인,2018-03-28,12736000,0.0060,-18853800,-0.597000000000000012427558981897846024367026984691619873046875,126309300,1948,-2197,-0.53000000000000001103284130721249312045983970165252685546875,17898,99,203,영국,영국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,가스 데이비스,"루니 마라,호아킨 피닉스,치웨텔 에지오포,아리안 라베드"
20180402(),7,덕구,2018-04-05,13568000,0.006999999999999999,13568000,1.00000000000000002081668171172168513294309377670288085937500,70770000,1696,1696,1.00000000000000002081668171172168513294309377670288085937500,9453,6,6,한국,한국,"(주)영화사두둥,(주)곰픽쳐스",메가박스중앙(주)플러스엠,전체관람가,드라마,방수인,"이순재,정지훈,장광,성병숙,차순배,박지윤,윤송아"
20180402(),8,리틀 포레스트,2018-02-28,11350700,0.0060,-10414600,-0.478000000000000009950373858202965493546798825263977050781250,11867177285,1626,-1121,-0.408000000000000008493206138382447534240782260894775390625000,1497830,112,166,한국,한국,(주)영화사수박,메가박스중앙(주)플러스엠,전체관람가,드라마,임순례,"김태리,류준열,문소리,진기주,홍성덕"
20180402(),9,바람 바람 바람,2018-04-05,8964000,0.0050,-3342500,-0.272000000000000005662137425588298356160521507263183593750000,103449200,996,-381,-0.277000000000000005766220834146906781825236976146697998046875,12643,5,5,한국,한국,(주)하이브미디어코프,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,코미디,이병헌,"이성민,신하균,송지효,이엘,장영남,고준"
20180402(),10,쓰리 빌보드,2018-03-15,6466300,0.0030,-8633200,-0.572000000000000011907141939104803896043449640274047851562500,740782800,848,-950,-0.528000000000000010991207943789049750193953514099121093750000,90197,53,73,미국,미국,,이십세기폭스코리아(주),15세이상관람가,"코미디,범죄,드라마",마틴 맥도나,"프란시스 맥도먼드,우디 해럴슨,샘 록웰,존 혹스,피터 딘클리지"
20180402(),11,레이디 버드,2018-04-04,6669500,0.0030,5306500,3.893000000000000081039341903732520222547464072704315185546875,42235500,753,615,4.457000000000000092779950389143550637527368962764739990234375,4895,4,4,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"코미디,드라마",그레타 거윅,"시얼샤 로넌,로리 멧칼프,트레이시 렛츠"
20180402(),12,미니특공대X,2018-03-22,3162000,0.0020,-88036500,-0.965000000000000020088097851811426153290085494518280029296875,627026700,443,-11679,-0.963000000000000020046464488387982783024199306964874267578125,83675,96,116,한국,한국,(주)삼지애니메이션,(주)삼지애니메이션,전체관람가,애니메이션,이영준,"엄상현,전태열,이소영,신용우"
20180402(),13,사라진 밤,2018-03-07,2402000,0.0010,-3381200,-0.585000000000000012177758801357185802771709859371185302734375,10690424116,328,-385,-0.54000000000000001124100812432970997178927063941955566406250,1314636,76,100,한국,한국,"(주)싸이더스,(주)엠씨엠씨,(주)더블앤조이픽쳐스",씨네그루(주)키다리이엔티,15세이상관람가,스릴러,이창희,"김상경,김강우,김희애,서현우"
20180402(),14,부러진 화살,,630000,0.0,-190000,-0.232000000000000004829470157119430950842797756195068359375000,3976000,315,-95,-0.232000000000000004829470157119430950842797756195068359375000,1982,1,5,미국,미국,이십세기폭스필름코퍼레이션,,,"드라마,멜로/로맨스,서부극(웨스턴)",델머 데이비스,
20180402(),15,셰이프 오브 워터: 사랑의 모양,2018-02-22,2348600,0.0010,-3354600,-0.588000000000000012240208846492350858170539140701293945312500,4179397700,310,-403,-0.565000000000000011761425167122752100112847983837127685546875,502452,22,27,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"어드벤처,판타지",기예르모 델 토로,"샐리 호킨스,마이클 섀넌,리차드 젠킨스,더그 존스,마이클 스털버그,옥타비아 스펜서"
20180402(),16,허리케인 하이스트,2018-03-14,1233000,0.0010,1139000,12.117000000000000252235732300931658755871467292308807373046875,1723541848,244,229,15.267000000000000317808279692854966924642212688922882080078125,213931,22,23,미국,미국,,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,범죄",롭 코헨,"토비 켑벨,매기 그레이스"
20180402(),17,검은 백조,,430000,0.0,20000,0.049000000000000001020017403874362571514211595058441162109375,4144000,215,10,0.049000000000000001020017403874362571514211595058441162109375,2072,1,4,미국,미국,,,미정,"어드벤처,가족,멜로/로맨스",헨리 킹,"타이론 파워,모린 오하라,레어드 크레거"
20180402(),18,염력,2018-01-31,768000,0.0,-160000,-0.172000000000000003580469254416129842866212129592895507812500,7480064112,153,-20,-0.116000000000000002414735078559715475421398878097534179687500,989191,18,18,한국,한국,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"드라마,코미디",연상호,"류승룡,심은경,박정민,김민재,정유미,이승용,예수정"
20180402(),19,치즈인더트랩,2018-03-14,1049200,0.0010,-1898900,-0.644000000000000013405943022348765225615352392196655273437500,1887817600,149,-228,-0.605000000000000012594092435591619505430571734905242919921875,228562,42,51,한국,한국,(주)마운틴무브먼트스토리,(주)리틀빅픽쳐스,15세이상관람가,"멜로/로맨스,스릴러",김제영,"박해진,오연서,박기웅,유인영,오종혁,박산다라,문지윤,김현진,김도완,전준영"
20180402(),20,기억을 만나다,,834000,0.0,-78000,-0.086000000000000001790234627208064921433106064796447753906250,4422000,148,-24,-0.14000000000000000291433543964103591861203312873840332031250,770,1,5,한국,한국,(주)바른손이앤에이,,12세이상관람가,멜로/로맨스,구범석,"서예지,김정현,동현배,배누리"
20180402(),21,50가지 그림자: 해방,2018-02-21,1026500,0.0010,-122400,-0.107000000000000002227384943154220309224911034107208251953125,1858011100,145,-1,-0.007000000000000000145716771982051795930601656436920166015625,216627,5,7,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"드라마,멜로/로맨스,스릴러",제임스 폴리,"다코타 존슨,제이미 도넌"
20180402(),22,파파 오랑후탄,2018-04-19,1134000,0.0010,1134000,1.00000000000000002081668171172168513294309377670288085937500,1306000,126,126,1.00000000000000002081668171172168513294309377670288085937500,155,1,1,한국,한국,시네마미션,파이오니아21,12세이상관람가,다큐멘터리,이성관,
20180402(),23,레드 스패로,2018-02-28,840000,0.0,-240000,-0.222000000000000004621303340002214099513366818428039550781250,849223700,105,-30,-0.222000000000000004621303340002214099513366818428039550781250,106904,5,5,미국,미국,,이십세기폭스코리아(주),청소년관람불가,스릴러,프란시스 로렌스,"제니퍼 로렌스,조엘 에저튼,마티아스 쇼에나에츠,샬롯 램플링,메리-루이스 파커,제레미 아이언스"
20180402(),24,공주와 해적,,204000,0.0,204000,1.00000000000000002081668171172168513294309377670288085937500,2887000,102,102,1.00000000000000002081668171172168513294309377670288085937500,1450,1,4,미국,미국,,,,"어드벤처,코미디,멜로/로맨스",데이빗 버틀러,"밥 호프,버지니아 마요"
