날짜,순위,영화명,개봉일,매출액,매출액점유율,매출액증감(전일대비),매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20180208(목),1,조선명탐정: 흡혈괴마의 비밀,2018-02-08,1062977600,0.529,1061717600,842.633000000000017540822960793178708627237938344478607177734375,1335404800,142798,142658,1018.986000000000021211907230700433046877151355147361755371093750,178444,1140,5973,한국,한국,청년필름(주),(주)쇼박스,12세이상관람가,"사극,어드벤처,코미디",김석윤,"김명민,오달수,김지원,김범,이민기,지웅배"
20180208(목),2,그것만이 내 세상,2018-01-17,308552700,0.154,-102692400,-0.25000000000000000520417042793042128323577344417572021484375,24055177837,41431,-13693,-0.248000000000000005162537064506977912969887256622314453125000,2998159,703,2555,한국,한국,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,"코미디,드라마",최성현,"이병헌,윤여정,박정민,한지민,김성령,이주영,최리"
20180208(목),3,코코,2018-01-11,145924500,0.073,-48661400,-0.25000000000000000520417042793042128323577344417572021484375,24759710516,19310,-6806,-0.261000000000000005433153926759359819698147475719451904296875,3144654,504,1194,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,리 언크리치,"가엘 가르시아 베르날,앤서니 곤잘레스,벤자민 브랫"
20180208(목),4,인시디어스4: 라스트 키,2018-01-31,117234300,0.057999999999999996,-59733000,-0.338000000000000007036038418561929574934765696525573730468750,3479206664,15372,-7705,-0.334000000000000006952771691715042834402993321418762207031250,453399,409,913,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,"공포(호러),미스터리,스릴러",애덤 로비텔,"스펜서 로크,린 샤예,조시 스튜어트,하비에르 보텟"
20180208(목),5,염력,2018-01-31,123357300,0.061,-42281800,-0.255000000000000005308253836489029708900488913059234619140625,7171786257,15130,-7526,-0.332000000000000006911138328291599464137107133865356445312500,950648,535,1341,한국,한국,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"드라마,코미디",연상호,"류승룡,심은경,박정민,김민재,정유미,이승용,예수정"
20180208(목),6,신과함께-죄와 벌,2017-12-20,90890500,0.045,-38466400,-0.297000000000000006182554468381340484484098851680755615234375,114459589137,12209,-5129,-0.296000000000000006161737786669618799351155757904052734375000,14262192,415,795,한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,차태현,주지훈,김향기,마동석,김동욱,도경수,오달수,임원희,장광,정해균,김수안,이정재,김해숙,이경영,김하늘,최용훈,강소백,정수윤,이수봉,이승준,이지향,김태준,정지훈,예수정,김기태,성유빈,오희준,이준혁"
20180208(목),7,메이즈 러너: 데스 큐어,2018-01-17,49564200,0.025,-55045900,-0.526000000000000010949574580365606379928067326545715332031250,18530215104,6486,-7321,-0.53000000000000001103284130721249312045983970165252685546875,2254625,208,347,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,SF,스릴러",웨스 볼,"딜런 오브라이언,토마스 생스터,카야 스코델라리오,이기홍"
20180208(목),8,더 포리너,2018-02-07,34737300,0.017,-28687400,-0.452000000000000009409140133698201680090278387069702148437500,117431600,4420,-3758,-0.46000000000000000957567358739197516115382313728332519531250,15194,144,443,영국,"영국,중국",,"(주)더블앤조이픽쳐스,TCO(주)더콘텐츠온",15세이상관람가,"액션,스릴러",마틴 캠벨,"성룡,피어스 브로스넌"
20180208(목),9,1987,2017-12-27,23926200,0.012,-44288400,-0.649000000000000013510026430907373651280067861080169677734375,57959267845,3245,-6165,-0.655000000000000013634926521177703762077726423740386962890625,7204464,173,265,한국,한국,(주)우정필름,씨제이이앤엠(주),15세이상관람가,드라마,장준환,"김윤석,하정우,유해진,김태리,박희순,이희준,설경구,여진구,유정호,윤재국,지웅배,정재윤,이가영,이동욱,이동희,이상준,이태형,최광일,강동원,문소리,문성근,김원진,남민우,이주영,임병우,김시은,김기태,정재윤,황성준,서현우,조민준"
20180208(목),10,위대한 쇼맨,2017-12-20,13662900,0.006999999999999999,-8463400,-0.383000000000000007972789095589405405917204916477203369140625,11116052100,1768,-1079,-0.379000000000000007889522368742518665385432541370391845703125,1356391,53,88,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"드라마,뮤지컬",마이클 그레이시,"휴 잭맨,잭 에프런,미쉘 윌리엄스,레베카 퍼거슨,젠다야 콜맨"
