날짜,순위,영화명,개봉일,매출액,매출액점유율,매출액증감(전일대비),매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20150730(목),1,미션 임파서블: 로그네이션,2015-07-30,3606583800,0.435,3606583800,1.00000000000000002081668171172168513294309377670288085937500,3616111800,471801,471801,1.00000000000000002081668171172168513294309377670288085937500,473052,1199,6264,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,스릴러,어드벤처",크리스토퍼 맥쿼리,"톰 크루즈,제레미 레너,사이먼 페그,알렉 볼드윈,레베카 퍼거슨"
20150730(목),2,암살,2015-07-22,2517463500,0.304,-818620000,-0.245000000000000005100087019371812857571057975292205810546875,38784722886,335000,-159019,-0.322000000000000006702971511174382612807676196098327636718750,5024826,1028,4676,한국,한국,(주)케이퍼필름,(주)쇼박스,15세이상관람가,"액션,드라마",최동훈,"전지현,이정재,하정우,오달수,조진웅,이경영,최덕문,김의성,박병은,김홍파,강용빈,홍성지,지동주,장현석,장용현,김민지,김승찬,안태랑,김예은,김정석,김정호,김준우,김지원,박상민,박정환,조승우,김해숙,진경,박소은,김인우,심희섭,김태준,차지원"
20150730(목),3,미니언즈,2015-07-29,1282048300,0.155,-14574200,-0.011000000000000000228983498828938536462374031543731689453125,2595248800,180807,-12882,-0.067000000000000001394717674685352903907187283039093017578125,376549,643,2275,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,"피에르 꼬팽,카일 발다","산드라 블록,존 햄,마이클 키튼"
20150730(목),4,인사이드 아웃,2015-07-09,666590000,0.08,-402350500,-0.376000000000000007827072323607353609986603260040283203125000,28845657298,93654,-66248,-0.414000000000000008618106228652777645038440823554992675781250,3732603,479,1363,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,코미디",피트 닥터,"다이안 레인,에이미 포엘러,카일 맥라클란,민디 캘링,빌 헤이더"
20150730(목),5,극장판 요괴워치: 탄생의 비밀이다냥!,2015-07-22,139547300,0.017,-86840800,-0.384000000000000007993605777301127091050148010253906250000000,2843776600,20415,-12695,-0.383000000000000007972789095589405405917204916477203369140625,403982,215,315,일본,일본,,씨제이이앤엠(주),전체관람가,애니메이션,"타카하시 시게하루,우시로 신지",
20150730(목),6,연평해전,2015-06-24,36301500,0.0040,-138704100,-0.793000000000000016507628597395296310423873364925384521484375,45352864530,5437,-21728,-0.80000000000000001665334536937734810635447502136230468750000,6011644,118,172,한국,한국,(주)로제타시네마,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,김학순,"김무열,진구,김율호,이현우,이완,이청아,천민희,이한종,박찬희,박혜준,최순조,최승준,최종환,송재호,유형균,박정학,이철민,김강일,김희정"
20150730(목),7,미쓰 와이프,2015-08-13,13664000,0.0020,1736000,0.146000000000000003039235529911366029409691691398620605468750,29924000,1952,440,0.291000000000000006057654378111010373686440289020538330078125,4186,10,10,한국,한국,(주)영화사아이비젼,메가박스중앙(주)플러스엠,15세이상관람가,코미디,강효진,"엄정화,송승헌,김상호,라미란,서신애,임보경,강현구,백승호,정지안,조훈휘,최윤철,유영채,홍석현,이승호,이연주,이은정,고수희,안소연,양도연,염동헌,황석하,정지훈,조덕제,김병춘,최종률,정유석,이용녀,최일화,곽지유,김영용,서승원,조경현"
20150730(목),8,인시디어스 3,2015-07-09,2843000,0.0,-43621400,-0.939000000000000019546864127306662339833565056324005126953125,6381418220,391,-6178,-0.94000000000000001956768080901838402496650815010070800781250,823568,17,26,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,공포(호러),리 워넬,"스테파니 스콧,더못 멀로니,린 샤예"
20150730(목),9,파란 이별의 글씨,,756000,0.0,-96000,-0.113000000000000002352285033424550420022569596767425537109375,2740000,378,-48,-0.113000000000000002352285033424550420022569596767425537109375,1365,1,5,한국,한국,세기상사㈜,,,드라마,정진우,"문희,윤정희,신성일"
20150730(목),10,터미네이터 제니시스,2015-07-02,2572000,0.0,-39307300,-0.939000000000000019546864127306662339833565056324005126953125,26479026629,327,-5748,-0.946000000000000019692580899288714135764166712760925292968750,3230127,21,23,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처,SF,스릴러",앨런 테일러,"아놀드 슈왈제네거,제이슨 클락,에밀리아 클라크,제이 코트니,J.K. 시몬스,다요 오케니이,맷 스미스,코트니 B. 반스,이병헌,아론 V. 윌리엄슨"
