날짜,순위,영화명,개봉일,매출액,매출액점유율,매출액증감(전일대비),매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20160512(목),1,곡성,2016-05-12,2356899900,0.706,1005751400,0.744000000000000015487611193520933738909661769866943359375000,3749843400,310042,139253,0.815000000000000016965595595053173383348621428012847900390625,486556,1125,4815,한국,한국,"(주)사이드미러,이십세기폭스 인터내셔널 프로덕션",이십세기폭스코리아(주),15세이상관람가,"미스터리,스릴러,드라마",나홍진,"곽도원,황정민,쿠니무라 준,천우희,김환희,허진,장소연,김도윤,손강국,전배수,황석정,배용근,배용근,이인철,이용녀,선호삼,송민석,신재현,안수연,이선희,이수빈,이수진,권귀덕,이연,이연경,이연경,백승철,이정은"
20160512(목),2,캡틴 아메리카: 시빌 워,2016-04-27,531807300,0.159,-112006900,-0.174000000000000003622102617839573213132098317146301269531250,64552567025,65539,-15159,-0.188000000000000003913536161803676804993301630020141601562500,7713682,864,3649,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,SF,스릴러","안소니 루소,조 루소","크리스 에반스,로버트 다우니 주니어,스칼렛 요한슨,세바스찬 스탠,안소니 마키,돈 치들,제레미 레너,톰 홀랜드"
20160512(목),3,탐정 홍길동: 사라진 마을,2016-05-04,221546500,0.066,-77775800,-0.26000000000000000541233724504763813456520438194274902343750,7914970727,29117,-11852,-0.289000000000000006016021014687567003420554101467132568359375,979082,499,1642,한국,한국,(주)영화사비단길,씨제이이앤엠(주),15세이상관람가,"드라마,액션",조성희,"이제훈,김성균,박근형,정성화,고아라,노정의,김하나,유승목,박정원,박지훈,오현암,유정래,윤상훈,이민아,이민지,이상희,정준용,김하나"
20160512(목),4,엽기적인 그녀 2,2016-05-12,113785400,0.034,106129400,13.862000000000000288560841887885999312857165932655334472656250,132716400,15373,14416,15.064000000000000313582493305375464842654764652252197265625000,17781,380,1082,한국,한국,(주)신씨네,(주)리틀빅픽쳐스,15세이상관람가,"멜로/로맨스,코미디",조근식,"차태현,빅토리아,후지이 미나,배성우,최진호,송옥숙,박재민,장봉영,정수련,정종준,양원석,조예경,윤서영,이상진,이성국,이은경,황창기,김병용,김우주,김근영,목규리"
20160512(목),5,다이버전트 시리즈: 얼리전트,2016-05-12,74134400,0.022000000000000002,29446100,0.659000000000000013718193248024590502609498798847198486328125,123249400,10035,4292,0.747000000000000015550061238656098794308491051197052001953125,16364,369,1136,미국,미국,,씨네그루(주)키다리이엔티,12세이상관람가,"액션,어드벤처,SF",로베르트 슈벤트케,"쉐일린 우들리,테오 제임스,마일즈 텔러,나오미 왓츠,매기 큐"
20160512(목),6,주토피아,2016-02-17,7011000,0.0020,-5801700,-0.453000000000000009429956815409923365223221480846405029296875,36855886142,996,-822,-0.452000000000000009409140133698201680090278387069702148437500,4675089,87,120,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,액션,어드벤처","바이론 하워드,리치 무어","지니퍼 굿윈,제이슨 베이트먼,샤키라"
20160512(목),7,해어화,2016-04-13,4844000,0.0010,-9500,-0.002000000000000000041633363423443370265886187553405761718750,3744385259,945,212,0.289000000000000006016021014687567003420554101467132568359375,481734,23,28,한국,한국,더램프(주),롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"사극,드라마",박흥식,"한효주,유연석,천우희,박성웅,장영남,이한위,류혜영,김수안,차지연,장인섭,박찬미,장희선,박효빈,송동규,송승환,양재준,천영암,이규정,이민준,이서연,이성우,이은주,최혁준,오하늬,김고은"
20160512(목),8,미라클 프롬 헤븐,2016-05-25,4230000,0.0010,1872000,0.794000000000000016528445279107017995556816458702087402343750,7470000,705,312,0.794000000000000016528445279107017995556816458702087402343750,1245,3,3,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,드라마,패트리시아 리건,"제니퍼 가너,마틴 헨더슨,카일리 로저스"
20160512(목),9,극장판 안녕 자두야,2016-05-04,4520200,0.0010,-5018300,-0.526000000000000010949574580365606379928067326545715332031250,1690086400,694,-658,-0.487000000000000010137723993608460659743286669254302978515625,220669,115,123,한국,한국,"아툰즈,씨제이이앤엠(주)",씨제이이앤엠(주),전체관람가,애니메이션,손석우,"여민정,양정화,이수진"
20160512(목),10,진홍의 도적,,856000,0.0,-274000,-0.242000000000000005037636974236647802172228693962097167968750,5374000,418,-147,-0.26000000000000000541233724504763813456520438194274902343750,2667,1,5,미국,미국,,,,"액션,코미디,어드벤처",로버트 시오드막,"버트 랭카스터,닉 크라바트"
