날짜,순위,영화명,개봉일,매출액,매출액점유율,매출액증감(전일대비),매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20181111(),1,완벽한 타인,2018-10-31,3283527250,0.42700000000000005,-345015551,-0.095000000000000001977584762613560087629593908786773681640625,28553928349,367324,-39820,-0.098000000000000002040034807748725143028423190116882324218750,3375750,1322,6793,한국,한국,"(주)필름몬스터,드라마하우스(주)",롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"드라마,코미디",이재규,"유해진,조진웅,이서진,염정아,김지수,송하윤,윤경호,지우"
20181111(),2,보헤미안 랩소디,2018-10-31,2871375300,0.374,-126705001,-0.042000000000000000874300631892310775583609938621520996093750,16588015601,311652,-10674,-0.033000000000000000686950496486815609387122094631195068359375,1843170,1098,4383,미국,미국,,이십세기폭스코리아(주),12세이상관람가,드라마,브라이언 싱어,"레미 맬렉,조셉 마젤로,마이크 마이어스,루시 보인턴"
20181111(),3,동네사람들,2018-11-07,832604150,0.10800000000000001,13745751,0.017000000000000000353883589099268647260032594203948974609375,2982648462,94622,745,0.008000000000000000166533453693773481063544750213623046875000,352215,717,2687,한국,한국,(주)데이드림,(주)리틀빅픽쳐스,15세이상관람가,"액션,스릴러",임진순,"마동석,김새론,이상엽,진선규,장광,신세휘,오희준,배진아"
20181111(),4,여곡성,2018-11-08,133688500,0.017,-13575500,-0.092000000000000001915134717478395032230764627456665039062500,500277300,14664,-1487,-0.092000000000000001915134717478395032230764627456665039062500,55997,200,592,한국,한국,(주)발자국 공장,(주)스마일이엔티,15세이상관람가,"공포(호러),미스터리",유영선,"홍예리,서영희,손나은,이태리,박민지,최홍일,손성윤,이재아,김호창,이해나,이재구"
20181111(),5,해리포터와 마법사의 돌,2001-12-13,125975000,0.016,-12619000,-0.091000000000000001894318035766673347097821533679962158203125,2279259500,13789,-1100,-0.074000000000000001540434446667404699837788939476013183593750,259733,32,195,미국,미국,,워너브러더스 코리아(주),전체관람가,"가족,판타지",크리스 콜럼버스,"다니엘 래드클리프,엠마 왓슨,루퍼트 그린트"
20181111(),6,박물관이 진짜 살아있다,2018-11-08,73246300,0.01,12316800,0.202000000000000004204969705767780396854504942893981933593750,152424050,9318,1489,0.19000000000000000395516952522712017525918781757354736328125,19771,252,310,체코,체코,,(주)팝엔터테인먼트,전체관람가,"애니메이션,어드벤처,코미디","마틴 코틱,이나 예블라니코바",
20181111(),7,벽 속에 숨은 마법시계,2018-10-31,68718550,0.009000000000000001,6284300,0.101000000000000002102484852883890198427252471446990966796875,1629652800,8628,800,0.102000000000000002123301534595611883560195565223693847656250,211233,246,364,미국,미국,,CGV아트하우스,전체관람가,"판타지,공포(호러),미스터리,SF,스릴러",일라이 로스,"잭 블랙,케이트 블란쳇,오웬 바카로"
20181111(),8,구스범스: 몬스터의 역습,2018-11-07,65170600,0.0080,-299200,-0.005000000000000000104083408558608425664715468883514404296875,175567500,7960,-76,-0.009000000000000000187350135405495166196487843990325927734375,21400,167,425,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,"판타지,어드벤처",아리 산델,"잭 블랙,켄 정"
20181111(),9,창궐,2018-10-25,63091950,0.0080,-7464900,-0.106000000000000002206568261442498624091967940330505371093750,13194934490,7390,-934,-0.112000000000000002331468351712828734889626502990722656250000,1588443,342,560,한국,한국,"리양필름(주),영화사 이창",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"사극,액션",김성훈,"현빈,장동건,조우진,정만식,이선빈,김의성,조달환,박진우,서지혜,한지은,공정환,김태우,이승일"
20181111(),10,스타 이즈 본,2018-10-09,48593700,0.0060,-3282650,-0.063000000000000001311450947838466163375414907932281494140625,3995474850,6143,-431,-0.066000000000000001373900992973631218774244189262390136718750,458917,100,158,미국,미국,,워너브러더스 코리아(주),15세이상관람가,"드라마,멜로/로맨스",브래들리 쿠퍼,"브래들리 쿠퍼,레이디 가가,샘 엘리엇,그렉 그룬버그"
