날짜,순위,영화명,개봉일,매출액,매출액점유율,매출액증감(전일대비),매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20180907(금),1,서치,2018-08-29,1343620923,0.498,505947173,0.604000000000000012573275753879897820297628641128540039062500,9509559268,149888,47788,0.468000000000000009742207041085748642217367887496948242187500,1117759,898,4353,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,드라마,아니쉬 차간티,"존 조,데브라 메싱"
20180907(금),2,너의 결혼식,2018-08-22,582848922,0.21600000000000003,167817022,0.404000000000000008409939411535560793709009885787963867187500,19046765954,66388,15000,0.292000000000000006078471059822732058819383382797241210937500,2267683,814,3686,한국,한국,"(주)필름케이,(주)외유내강",메가박스중앙(주)플러스엠,12세이상관람가,멜로/로맨스,이석근,"박보영,김영광,강기영,장성범,고규필,서은수,차엽,안길강"
20180907(금),3,상류사회,2018-08-29,196985800,0.073,36617100,0.228000000000000004746203430272544210311025381088256835937500,5366593763,22148,2111,0.105000000000000002185751579730776938959024846553802490234375,653772,564,2069,한국,한국,(주)하이브미디어코프,롯데컬처웍스(주)롯데엔터테인먼트,청소년관람불가,드라마,변혁,"박해일,수애,윤제문,라미란,이진욱,김규선,한주영,김강우"
20180907(금),4,업그레이드,2018-09-06,193980500,0.07200000000000001,39161800,0.253000000000000005266620473065586338634602725505828857421875,365255700,20768,2566,0.141000000000000002935152121352757603744976222515106201171875,41190,214,1225,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,액션,리 워넬,"로건 마샬-그린,해리슨 길벗슨"
20180907(금),5,신과함께-인과 연,2018-08-01,93380550,0.035,25023600,0.366000000000000007618905506490136758657172322273254394531250,101970564109,10657,1903,0.217000000000000004517219931443605673848651349544525146484375,12188774,419,944,한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,주지훈,김향기,마동석,김동욱,이정재,김기태,오희준,도경수,이준혁"
20180907(금),6,맘마미아!2,2018-08-08,81428950,0.03,15582200,0.237000000000000004933553565678039376507513225078582763671875,18937466253,9208,925,0.112000000000000002331468351712828734889626502990722656250000,2213380,348,751,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,뮤지컬,올 파커,"아만다 사이프리드,릴리 제임스,메릴 스트립,피어스 브로스넌,제레미 어바인,콜린 퍼스,휴 스키너,스텔란 스카스가드,조쉬 딜란,줄리 월터스,알렉사 데이비스,크리스틴 바란스키,제시카 키나 윈,도미닉 쿠퍼,셰어,앤디 가르시아"
20180907(금),7,공작,2018-08-08,62120200,0.023,13558100,0.279000000000000005807854197570350152091123163700103759765625,42391568776,7298,933,0.147000000000000003060052211623087714542634785175323486328125,4923986,366,707,한국,한국,"(주)영화사 월광,(주)사나이픽처스",씨제이이앤엠(주),12세이상관람가,드라마,윤종빈,"황정민,이성민,조진웅,주지훈,김대현"
20180907(금),8,목격자,2018-08-15,51367450,0.019,8996550,0.212000000000000004413136522884997248183935880661010742187500,21486958197,5865,579,0.11000000000000000228983498828938536462374031543731689453125,2494614,383,787,한국,한국,(주)에이디사공육,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,스릴러,조규장,"이성민,김상호,진경,곽시양"
20180907(금),9,나를 차버린 스파이,2018-08-22,20728400,0.0080,3458900,0.20000000000000000416333634234433702658861875534057617187500,2217073400,2187,151,0.074000000000000001540434446667404699837788939476013183593750,250718,103,206,미국,미국,,(주)누리픽쳐스,15세이상관람가,"액션,코미디",수잔나 포겔,"밀라 쿠니스,케이트 맥키넌"
20180907(금),10,양말요정 휴고의 대모험,2018-09-06,10847300,0.0040,-1542900,-0.125000000000000002602085213965210641617886722087860107421875,25937500,1750,-365,-0.173000000000000003601285936127851527999155223369598388671875,4165,164,168,체코,"체코,슬로바키아,크로아티아",,와이드 릴리즈(주),전체관람가,"어드벤처,애니메이션",갈리나 미클리노바,"조연우,박상우,이민형,송영인,방지원"
20180907(금),11,그래비티,2013-10-17,24730000,0.009000000000000001,1187500,0.05000000000000000104083408558608425664715468883514404296875,32179335800,1532,38,0.025000000000000000520417042793042128323577344417572021484375,3273039,24,80,미국,미국,,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",12세이상관람가,"SF,드라마",알폰소 쿠아론,"산드라 블록,조지 클루니"
20180907(금),12,미션 임파서블: 폴아웃,2018-07-25,10954100,0.0040,3112050,0.397000000000000008264222639553508997778408229351043701171875,55811441662,1243,276,0.285000000000000005932754287840680262888781726360321044921875,6575722,86,121,미국,미국,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"액션,스릴러",크리스토퍼 맥쿼리,"톰 크루즈,레베카 퍼거슨,바네사 커비,미셸 모나한,헨리 카빌,안젤라 바셋,사이먼 페그,알렉 볼드윈"
20180907(금),13,피쉬 프렌즈: 알록이의 신기한 모험,2018-08-30,4846000,0.0020,20000,0.004000000000000000083266726846886740531772375106811523437500,162488100,908,-30,-0.032000000000000000666133814775093924254179000854492187500000,23598,29,32,터키,터키,,(주)박수엔터테인먼트,전체관람가,"애니메이션,어드벤처",부르한 군,
20180907(금),14,마일22,2018-08-23,2500300,0.0010,346400,0.161000000000000003351485755587191306403838098049163818359375,587445600,406,48,0.134000000000000002789435349370705807814374566078186035156250,67833,77,99,미국,미국,,(주)팝엔터테인먼트,15세이상관람가,"액션,어드벤처,스릴러",피터 버그,"마크 월버그,로렌 코핸,이코 우웨이스,론다 로우지,존 말코비치"
20180907(금),15,안나 까레니나,,762000,0.0,762000,1.00000000000000002081668171172168513294309377670288085937500,3494000,381,381,1.00000000000000002081668171172168513294309377670288085937500,1747,1,5,미국,미국,,,,"드라마,멜로/로맨스",버나드 로즈,"소피 마르소,숀 빈"
20180907(금),16,몬스터 호텔 3,2018-08-08,2019200,0.0010,828200,0.695000000000000014467593789646571167395450174808502197265625,7832719600,283,105,0.59000000000000001228184220991579422843642532825469970703125,1058559,38,41,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,"애니메이션,코미디,가족,판타지",젠디 타타코브스키,"아담 샌들러,셀레나 고메즈,앤디 샘버그,스티브 부세미,케빈 제임스,캐서린 한"
20180907(금),17,극장판 헬로카봇 : 백악기 시대,2018-08-01,1524000,0.0010,1113000,2.708000000000000056371574075342323340009897947311401367187500,6540825100,278,209,3.029000000000000063053728904804984267684631049633026123046875,872685,14,23,한국,한국,(주)초이락컨텐츠팩토리,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"최신규,김진철","이지현,김용준,양정화,홍범기,엄상현,사문영,위훈,민응식,신용우,안소이,한신,이현,김상백,임정길,김두용"
20180907(금),18,PDFF2018 개막식,,1165000,0.0,1165000,1.00000000000000002081668171172168513294309377670288085937500,1165000,233,233,1.00000000000000002081668171172168513294309377670288085937500,233,1,1,기타,기타,,,,기타,,
20180907(금),19,인크레더블 2,2018-07-18,1965000,0.0010,1894000,26.676000000000000555305801341887672606389969587326049804687500,24548182088,229,220,24.444000000000000508842967761324871389660984277725219726562500,3032115,2,2,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"애니메이션,액션,어드벤처,코미디,가족",브래드 버드,"크레이그 T. 넬슨,사무엘 L. 잭슨,홀리 헌터"
20180907(금),20,미친도시,2018-08-30,1388000,0.0010,224000,0.192000000000000003996802888650563545525074005126953125000000,14954500,198,56,0.394000000000000008201772594418343942379578948020935058593750,1992,2,2,한국,한국,주식회사 케이엠스타,영화사 마그나,15세이상관람가,드라마,장태령,"한태일,이경영,김미영"
20180907(금),21,꽃찌: 독이 있는 사랑,2018-08-23,364000,0.0,364000,1.00000000000000002081668171172168513294309377670288085937500,1140000,182,182,1.00000000000000002081668171172168513294309377670288085937500,565,1,4,한국,한국,스마일픽쳐스,스마일픽쳐스,청소년관람불가,드라마,김문옥,"박가현,이성훈,김국현,정인철"
20180907(금),22,과외의 추억,2018-09-07,989000,0.0,989000,1.00000000000000002081668171172168513294309377670288085937500,989000,179,179,1.00000000000000002081668171172168513294309377670288085937500,179,20,21,한국,한국,스마일컨텐츠,스마일컨텐츠,청소년관람불가,멜로/로맨스,김다니엘,
20180907(금),23,녹원의 천사,,272000,0.0,-120000,-0.306000000000000006369904603786835650680586695671081542968750,4666000,136,-60,-0.306000000000000006369904603786835650680586695671081542968750,1927,1,3,미국,미국,메트로-골드윈-마이어,,,"드라마,가족",클라렌스 브라운,
20180907(금),24,극장판 도라에몽: 진구의 보물섬,2018-08-15,1185000,0.0,507000,0.748000000000000015570877920367820479441434144973754882812500,1357869000,124,-1,-0.008000000000000000166533453693773481063544750213623046875000,180554,5,5,일본,일본,,(주)이수C&E;,전체관람가,"애니메이션,SF,어드벤처",이마이 카즈아키,"윤아영,김정아,조현정,최낙윤,이현주,임은정,김정은,이지현,이경태,강은애,박성영,이다은,손선영,김은연,정의한,김진홍,이승행,이창민,서반석,원에스더,미즈타 와사비,오오하라 메구미,카카즈 유미,키무라 스바루,세키 토모카즈,카네모토 히사코,유키 아오이,야마시타 다이키,오리카사 후미코,오토모 류자부로,하야미 사오리,나가사와 마사미,오오이즈미 요"
20180907(금),25,명량,2014-07-30,1107000,0.0,1107000,1.00000000000000002081668171172168513294309377670288085937500,135756027310,123,123,1.00000000000000002081668171172168513294309377670288085937500,17615437,1,1,한국,한국,(주)빅스톤픽쳐스,씨제이이앤엠(주),15세이상관람가,"사극,액션",김한민,"최민식,류승룡,조진웅,김명곤,진구,이정현,권율,노민우,김태훈,이승준,오타니 료헤이,박보검,박원우,서성광,오명훈,유명환,윤희경,이윤기,정수남,정순태,정의석,김원해,이해영,장준녕,김길동,김강일,강태영,하형원,한상대,김동원,김민석,김민식,김재철,김준형,김현중,박선용,박노식,최덕문,조복래,문영동,이주실"
20180907(금),26,이사,,690000,0.0,690000,1.00000000000000002081668171172168513294309377670288085937500,1128000,106,106,1.00000000000000002081668171172168513294309377670288085937500,172,1,1,일본,일본,,,,기타,소마이 신지,
20180907(금),27,너의 이름은.,2017-01-04,1792500,0.0010,1792500,1.00000000000000002081668171172168513294309377670288085937500,29858880556,104,104,1.00000000000000002081668171172168513294309377670288085937500,3711579,1,3,일본,일본,,메가박스중앙(주)플러스엠,12세이상관람가,"애니메이션,드라마,멜로/로맨스",신카이 마코토,"카미키 류노스케,카미시라이시 모네,나가사와 마사미,이치하라 에수코,유키 아오이,시마자키 노부나가,이시카와 카이토,타니 카논"
20180907(금),28,빅샤크: 매직체인지,2018-06-27,420000,0.0,420000,1.00000000000000002081668171172168513294309377670288085937500,1012286700,84,84,1.00000000000000002081668171172168513294309377670288085937500,138705,2,2,중국,중국,,와이드 릴리즈(주),전체관람가,애니메이션,헤 질리,"이제인,장병관,김사라,김한나,윤세웅,홍후백"
20180907(금),29,내 학생의 엄마 3,2018-09-07,467000,0.0,467000,1.00000000000000002081668171172168513294309377670288085937500,467000,70,70,1.00000000000000002081668171172168513294309377670288085937500,70,20,21,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,유해종,박주빈
20180907(금),30,"열차 안의 낯선 자들, 의혹의 전망차",,587500,0.0,587500,1.00000000000000002081668171172168513294309377670288085937500,17846200,66,66,1.00000000000000002081668171172168513294309377670288085937500,4014,2,2,미국,미국,,,12세관람가,"범죄,미스터리,멜로/로맨스,스릴러",알프레드 히치콕,"팔리 그레인저,루스 로만,로버트 워커"
20180907(금),31,오명,,497000,0.0,318500,1.784000000000000037136960173711486277170479297637939453125000,27291600,55,34,1.619000000000000033702207691277408230234868824481964111328125,5824,2,2,미국,미국,,,15세관람가,"멜로/로맨스,스릴러",알프레드 히치콕,"캐리 그랜트,잉그리드 버그만"
20180907(금),32,비는 행운을 싣고,,82000,0.0,82000,1.00000000000000002081668171172168513294309377670288085937500,3058000,41,41,1.00000000000000002081668171172168513294309377670288085937500,1305,1,3,미국,미국,,,,"멜로/로맨스,서부극(웨스턴),스릴러",조셉 안소니,"버트 랭커스터,캐서린 헵번,웬델 코리,로이드 브리지스,얼 홀리만"
20180907(금),33,꿈꾸는 열다섯,,242000,0.0,242000,1.00000000000000002081668171172168513294309377670288085937500,242000,39,39,1.00000000000000002081668171172168513294309377670288085937500,39,1,1,일본,일본,,,,기타,소마이 신지,
20180907(금),34,AIYOUTH 2018 경쟁 언더24 (3),,40000,0.0,40000,1.00000000000000002081668171172168513294309377670288085937500,40000,36,36,1.00000000000000002081668171172168513294309377670288085937500,36,1,1,기타,기타,,,,기타,,
20180907(금),35,잔느 딜망,2008-05-09,169000,0.0,169000,1.00000000000000002081668171172168513294309377670288085937500,3132000,35,35,1.00000000000000002081668171172168513294309377670288085937500,504,1,1,프랑스,프랑스,,,,드라마,샹탈 애커만,"델핀 세이릭,잔 데코트,자크 도니올-발크로즈"
20180907(금),36,AIYOUTH 2018 경쟁 언더19 (3),,35000,0.0,35000,1.00000000000000002081668171172168513294309377670288085937500,35000,33,33,1.00000000000000002081668171172168513294309377670288085937500,33,1,1,기타,기타,,,,기타,,
20180907(금),37,킹 오브 프리즘 - 프라이드 더 히어로,2017-06-10,327000,0.0,-319000,-0.494000000000000010283440765590512455673888325691223144531250,1070170500,30,-38,-0.559000000000000011636525076852421989315189421176910400390625,127459,2,2,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,애니메이션,히시다 마사카즈,"남도형,엄상현,이원찬,정주원,이정민,한신,황창영,김현욱,탁원정,이경태,심승한,사성웅,이규창"
20180907(금),38,킹 오브 프리즘,2016-08-11,253000,0.0,66000,0.353000000000000007348288644237754851928912103176116943359375,995991000,24,4,0.20000000000000000416333634234433702658861875534057617187500,119930,2,2,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,"애니메이션,드라마,판타지",히시다 마사카즈,
20180907(금),39,라라랜드,2016-12-07,90500,0.0,45500,1.011000000000000021045665210550623669405467808246612548828125,30004936694,22,13,1.444000000000000030059288391726113331969827413558959960937500,3596945,2,3,미국,미국,,판씨네마(주),12세이상관람가,"드라마,뮤지컬,멜로/로맨스",데이미언 셔젤,"엠마 스톤,라이언 고슬링,핀 위트록,J.K. 시몬스,로즈마리 드윗"
20180907(금),40,명탐정 코난 : 제로의 집행인,2018-08-08,204500,0.0,-80000,-0.281000000000000005849487560993793522357009351253509521484375,3012251861,19,-17,-0.472000000000000009825473767932635382749140262603759765625000,395907,1,1,일본,일본,,씨제이이앤엠(주),12세이상관람가,애니메이션,타치카와 유즈루,"타카야마 미나미,야마자키 와카나,코야마 리키야,푸루야 토루"
20180907(금),40,메가로돈,2018-08-15,116000,0.0,15000,0.149000000000000003101685575046531084808520972728729248046875,4509269497,19,2,0.118000000000000002456368441983158845687285065650939941406250,527072,2,3,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,공포(호러),SF",존 터틀타웁,"제이슨 스타뎀,리빙빙"
20180907(금),42,별을 쫓는 아이,2011-08-25,122000,0.0,122000,1.00000000000000002081668171172168513294309377670288085937500,445006892,17,17,1.00000000000000002081668171172168513294309377670288085937500,63635,2,2,일본,일본,,"(주)박수엔터테인먼트,에이원엔터테인먼트",전체관람가,애니메이션,신카이 마코토,
