날짜,순위,영화명,개봉일,매출액,매출액점유율,매출액증감(전일대비),매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20160928(수),1,아수라,2016-09-28,2907847000,0.693,2850846000,50.014000000000001041125519130048360239015892148017883300781250,3129216000,475482,469520,78.752000000000001639355318161506147589534521102905273437500000,500328,1262,5731,한국,한국,(주)사나이픽처스,씨제이이앤엠(주),청소년관람불가,"범죄,액션",김성수,"정우성,김현빈,황정민,주지훈,곽도원,정만식,김원해,김종수,김해곤,윤지혜,오연아,윤제문,이종성,장근영,박지환,손영진,양영일,유정호,윤성민,이가경,이광기,이상민,채성원,김남조,노남석,박갑진"
20160928(수),2,미스 페레그린과 이상한 아이들의 집,2016-09-28,483198800,0.115,475142800,58.98000000000000122776788735734498914098367094993591308593750,508479800,80715,79708,79.154000000000001647723624209618265012977644801139831542968750,83924,480,1890,미국,"미국,벨기에,영국",,이십세기폭스코리아(주),12세이상관람가,"미스터리,판타지",팀 버튼,"에바 그린,사무엘 L. 잭슨,아사 버터필드,앨리슨 제니,킴 디킨스,주디 덴치,크리스 오다우드"
20160928(수),3,밀정,2016-09-07,247495500,0.059000000000000004,-238791700,-0.491000000000000010220990720455347400275059044361114501953125,57922891393,42739,-25267,-0.372000000000000007743805596760466869454830884933471679687500,7077367,519,1480,한국,한국,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",워너브러더스 코리아(주),15세이상관람가,액션,김지운,"송강호,공유,한지민,츠루미 신고,엄태구,신성록,서영주,박민우,이진한,이진한,임서영,임서영,전수빈,정유안,조권수,조윤담,이동진,이상희,이수광,이승진,하민,노준표,김정우,김태준,고준,오하늬,원진아,전여빈"
20160928(수),4,브리짓 존스의 베이비,2016-09-28,242184200,0.057999999999999996,242184200,1.00000000000000002081668171172168513294309377670288085937500,678508200,41530,41530,1.00000000000000002081668171172168513294309377670288085937500,91287,440,1681,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"코미디,멜로/로맨스",샤론 맥과이어,"르네 젤위거,콜린 퍼스,패트릭 뎀시"
20160928(수),5,설리: 허드슨강의 기적,2016-09-28,203703400,0.049,195123400,22.742000000000000473412975487974563293391838669776916503906250,623673200,33583,32923,49.883000000000001038398533825812819486600346863269805908203125,78692,537,1883,미국,미국,,워너브러더스 코리아(주),12세이상관람가,드라마,클린트 이스트우드,"톰 행크스,아론 에크하트,로라 린니"
20160928(수),6,벤허,2016-09-14,58182800,0.013999999999999999,-136281300,-0.701000000000000014592493879916901278193108737468719482421875,10585867595,9715,-17868,-0.648000000000000013489209749195651966147124767303466796875000,1293573,273,508,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"어드벤처,드라마",티무르 베크맘베토브,"잭 휴스턴,토비 켑벨,모건 프리먼,로드리고 산토로,할룩 빌기너,요한 필리프 아스베크,모이세스 아리아스,아예렛 주러,소피아 블랙 디엘리아,제임스 코스모,다토 바크하제,자레스 J. 메즈"
20160928(수),7,피터와 드래곤,2016-09-28,15091000,0.0040,15091000,1.00000000000000002081668171172168513294309377670288085937500,23002500,2443,2443,1.00000000000000002081668171172168513294309377670288085937500,3289,143,320,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"어드벤처,가족,판타지",데이빗 로워리,"브라이스 달라스 하워드,오크스 페글리,웨스 벤틀리,칼 어번,로버트 레드포드,크레이그 홀,이시아 휘틀록 주니어"
20160928(수),8,"고산자, 대동여지도",2016-09-07,10354500,0.0020,-40940300,-0.798000000000000016611712005953904736088588833808898925781250,7744339058,1706,-5903,-0.776000000000000016153745008296027663163840770721435546875000,965448,39,50,한국,한국,(주)시네마서비스,씨제이이앤엠(주),전체관람가,사극,강우석,"김율호,차승원,유준상,김인권,남지현,신동미,남경읍,태인호,공형진,김종수,이형길,임경욱,박선용,박상훈,박정호,박진영,백동현,송민석,송원종,양해길,양희정,전수정,전호근,정명수,정봉연,정진근,조경섭,윤성민,윤준호,이덕형,이문형,이성원,이수민,이승철,이윤상,지동주,지현준,최은식,최한기,한명철,홍광표,홍대영,노남석,정준용,김기정,오희준"
20160928(수),9,매그니피센트 7,2016-09-14,7243700,0.0020,-110394700,-0.938000000000000019526047445594940654700621962547302246093750,7580823521,1153,-15132,-0.929000000000000019338697310189445488504134118556976318359375,914323,74,102,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,서부극(웨스턴)",안톤 후쿠아,"덴젤 워싱턴,크리스 프랫,이병헌,에단 호크,맷 보머,빈센트 도노프리오,해일리 베넷,캠 지갠뎃"
20160928(수),10,웨포나이즈드,2016-07-06,1960000,0.0,1960000,1.00000000000000002081668171172168513294309377670288085937500,8290000,392,392,1.00000000000000002081668171172168513294309377670288085937500,1658,2,2,미국,미국,,제인앤유,청소년관람불가,"액션,SF,스릴러",티모시 우드워드 주니어,"미키 루크,톰 시즈모어,조니 메스너"
