날짜,순위,영화명,개봉일,매출액,매출액점유율,매출액증감(전일대비),매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20180910(),1,서치,2018-08-29,659958050,0.467,-1724925300,-0.723000000000000015050460877574778351117856800556182861328125,15358710113,80410,-226980,-0.738000000000000015362711103250603628112003207206726074218750,1815946,938,4835,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,드라마,아니쉬 차간티,"존 조,데브라 메싱"
20180910(),2,너의 결혼식,2018-08-22,264055450,0.187,-677776600,-0.72000000000000001498801083243961329571902751922607421875000,21413183637,32715,-90011,-0.733000000000000015258627694691995202447287738323211669921875,2555348,803,3475,한국,한국,"(주)필름케이,(주)외유내강",메가박스중앙(주)플러스엠,12세이상관람가,멜로/로맨스,이석근,"박보영,김영광,강기영,장성범,고규필,서은수,차엽,안길강"
20180910(),3,상류사회,2018-08-29,92474550,0.065,-139925450,-0.602000000000000012531642390456454450031742453575134277343750,5987752263,11677,-19007,-0.619000000000000012885525979555723097291775047779083251953125,728823,521,1720,한국,한국,(주)하이브미디어코프,롯데컬처웍스(주)롯데엔터테인먼트,청소년관람불가,드라마,변혁,"박해일,수애,윤제문,라미란,이진욱,김규선,한주영,김강우"
20180910(),4,업그레이드,2018-09-06,95113700,0.067,-216983300,-0.695000000000000014467593789646571167395450174808502197265625,1112635900,11056,-21551,-0.661000000000000013759826611448033872875384986400604248046875,120635,203,1088,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,액션,리 워넬,"로건 마샬-그린,해리슨 길벗슨"
20180910(),5,신과함께-인과 연,2018-08-01,51306250,0.036000000000000004,-117995750,-0.697000000000000014509227153070014537661336362361907958984375,102367863859,6709,-16210,-0.707000000000000014717393970187231388990767300128936767578125,12238098,432,921,한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,주지훈,김향기,마동석,김동욱,이정재,김기태,오희준,도경수,이준혁"
20180910(),6,맘마미아!2,2018-08-08,40283600,0.028999999999999998,-89994450,-0.691000000000000014384327062799684426863677799701690673828125,19253682853,5049,-11975,-0.703000000000000014634127243340344648458994925022125244140625,2251540,333,707,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,뮤지컬,올 파커,"아만다 사이프리드,릴리 제임스,메릴 스트립,피어스 브로스넌,제레미 어바인,콜린 퍼스,휴 스키너,스텔란 스카스가드,조쉬 딜란,줄리 월터스,알렉사 데이비스,크리스틴 바란스키,제시카 키나 윈,도미닉 쿠퍼,셰어,앤디 가르시아"
20180910(),7,협상,2018-09-19,41606000,0.028999999999999998,41606000,1.00000000000000002081668171172168513294309377670288085937500,45260000,4646,4646,1.00000000000000002081668171172168513294309377670288085937500,5052,17,18,한국,한국,"(주)제이케이필름,그리고픽처스,씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,범죄,이종석,"현빈,손예진,김상호,장영남,장광,조영진,이문식"
20180910(),8,공작,2018-08-08,33450900,0.024,-69534550,-0.675000000000000014051260155412137464736588299274444580078125,42638927726,4329,-8654,-0.667000000000000013884726701718363983673043549060821533203125,4953871,364,651,한국,한국,"(주)영화사 월광,(주)사나이픽처스",씨제이이앤엠(주),12세이상관람가,드라마,윤종빈,"황정민,이성민,조진웅,주지훈,김대현"
20180910(),9,물괴,2018-09-12,34021500,0.024,34021500,1.00000000000000002081668171172168513294309377670288085937500,45531500,3785,3785,1.00000000000000002081668171172168513294309377670288085937500,5044,18,18,한국,한국,(주)태원엔터테인먼트,"롯데컬처웍스(주)롯데엔터테인먼트,씨네그루(주)키다리이엔티",15세이상관람가,"액션,사극",허종호,"김명민,김인권,이혜리,최우식,박성웅,박희순,이경영"
20180910(),10,목격자,2018-08-15,30356700,0.021,-36590800,-0.547000000000000011386724896311761767719872295856475830078125,21665662097,3648,-4614,-0.558000000000000011615708395140700304182246327400207519531250,2515746,311,564,한국,한국,(주)에이디사공육,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,스릴러,조규장,"이성민,김상호,진경,곽시양"
