날짜,순위,영화명,개봉일,매출액,매출액점유율,매출액증감(전일대비),매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20180819(),1,목격자,2018-08-15,2676107300,0.264,-290429496,-0.098000000000000002040034807748725143028423190116882324218750,11933957560,298946,-35442,-0.106000000000000002206568261442498624091967940330505371093750,1365429,1021,4335,한국,한국,(주)에이디사공육,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,스릴러,조규장,"이성민,김상호,진경,곽시양"
20180819(),2,공작,2018-08-08,2597465100,0.257,-389588554,-0.13000000000000000270616862252381906728260219097137451171875,34940421376,287278,-42763,-0.13000000000000000270616862252381906728260219097137451171875,4041584,1016,4210,한국,한국,"(주)영화사 월광,(주)사나이픽처스",씨제이이앤엠(주),12세이상관람가,드라마,윤종빈,"황정민,이성민,조진웅,주지훈,김대현"
20180819(),3,신과함께-인과 연,2018-08-01,2040412600,0.20199999999999999,-340196496,-0.143000000000000002976785484776200974010862410068511962890625,94812453609,230492,-37774,-0.141000000000000002935152121352757603744976222515106201171875,11319847,993,3728,한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,주지훈,김향기,마동석,김동욱,이정재,김기태,오희준,도경수,이준혁"
20180819(),4,맘마미아!2,2018-08-08,974222300,0.096,-114071950,-0.105000000000000002185751579730776938959024846553802490234375,13645055685,107622,-11767,-0.099000000000000002060851489460446828161366283893585205078125,1582417,683,1770,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,뮤지컬,올 파커,"아만다 사이프리드,릴리 제임스,메릴 스트립,피어스 브로스넌,제레미 어바인,콜린 퍼스,휴 스키너,스텔란 스카스가드,조쉬 딜란,줄리 월터스,알렉사 데이비스,크리스틴 바란스키,제시카 키나 윈,도미닉 쿠퍼,셰어,앤디 가르시아"
20180819(),5,메가로돈,2018-08-15,623342100,0.062,-97849050,-0.136000000000000002831068712794149178080260753631591796875000,3583162597,70523,-11299,-0.138000000000000002872702076217592548346146941184997558593750,413426,568,1588,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,공포(호러),SF",존 터틀타웁,"제이슨 스타뎀,리빙빙"
20180819(),6,몬스터 호텔 3,2018-08-08,436131900,0.043,-27647300,-0.06000000000000000124900090270330110797658562660217285156250,6683876900,55423,-4482,-0.075000000000000001561251128379126384970732033252716064453125,904506,534,1043,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,"애니메이션,코미디,가족,판타지",젠디 타타코브스키,"아담 샌들러,셀레나 고메즈,앤디 샘버그,스티브 부세미,케빈 제임스,캐서린 한"
20180819(),7,미션 임파서블: 폴아웃,2018-07-25,335989900,0.033,-71811350,-0.176000000000000003663735981263016583397984504699707031250000,54588518562,35393,-7333,-0.172000000000000003580469254416129842866212129592895507812500,6433729,355,663,미국,미국,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"액션,스릴러",크리스토퍼 맥쿼리,"톰 크루즈,레베카 퍼거슨,바네사 커비,미셸 모나한,헨리 카빌,안젤라 바셋,사이먼 페그,알렉 볼드윈"
20180819(),8,극장판 도라에몽: 진구의 보물섬,2018-08-15,182753400,0.018000000000000002,-8105400,-0.042000000000000000874300631892310775583609938621520996093750,1054152400,23466,-1335,-0.054000000000000001124100812432970997178927063941955566406250,138640,425,639,일본,일본,,(주)이수C&E;,전체관람가,"애니메이션,SF,어드벤처",이마이 카즈아키,"윤아영,김정아,조현정,최낙윤,이현주,임은정,김정은,이지현,이경태,강은애,박성영,이다은,손선영,김은연,정의한,김진홍,이승행,이창민,서반석,원에스더,미즈타 와사비,오오하라 메구미,카카즈 유미,키무라 스바루,세키 토모카즈,카네모토 히사코,유키 아오이,야마시타 다이키,오리카사 후미코,오토모 류자부로,하야미 사오리,나가사와 마사미,오오이즈미 요"
20180819(),9,극장판 헬로카봇 : 백악기 시대,2018-08-01,95122200,0.009000000000000001,804200,0.009000000000000000187350135405495166196487843990325927734375,6406152000,11755,-212,-0.018000000000000000374700270810990332392975687980651855468750,854230,189,256,한국,한국,(주)초이락컨텐츠팩토리,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"최신규,김진철","이지현,김용준,양정화,홍범기,엄상현,사문영,위훈,민응식,신용우,안소이,한신,이현,김상백,임정길,김두용"
20180819(),10,명탐정 코난 : 제로의 집행인,2018-08-08,92081700,0.009000000000000001,1580600,0.017000000000000000353883589099268647260032594203948974609375,2866475800,11530,335,0.03000000000000000062450045135165055398829281330108642578125,377257,185,236,일본,일본,,씨제이이앤엠(주),12세이상관람가,애니메이션,타치카와 유즈루,"타카야마 미나미,야마자키 와카나,코야마 리키야,푸루야 토루"
