날짜,순위,영화명,개봉일,매출액,매출액점유율,매출액증감(전일대비),매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20180507(),1,어벤져스: 인피니티 워,2018-04-25,4752880200,0.762,-2158027400,-0.312000000000000006494804694057165761478245258331298828125000,80069149344,516678,-220947,-0.30000000000000000624500451351650553988292813301086425781250,9014588,2122,10160,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,SF","안소니 루소,조 루소","로버트 다우니 주니어,조슈 브롤린,마크 러팔로,톰 히들스턴,크리스 에반스,크리스 헴스워스,제레미 레너,스칼렛 요한슨,엘리자베스 올슨,안소니 마키,폴 러드,기네스 팰트로우,폴 베타니,돈 치들,베네딕트 컴버배치,톰 홀랜드,크리스 프랫,조 샐다나,카렌 길런,브래들리 쿠퍼,빈 디젤,데이브 바티스타,세바스찬 스탠,채드윅 보스만,코비 스멀더스,베니치오 델 토로,피터 딘클리지,사무엘 L. 잭슨,다네이 거라이라,베네딕트 왕"
20180507(),2,챔피언,2018-05-01,1268328400,0.203,-445125200,-0.26000000000000000541233724504763813456520438194274902343750,7172777487,147452,-47395,-0.243000000000000005058453655948369487305171787738800048828125,848667,874,3580,한국,한국,(주)코코너,워너브러더스 코리아(주),12세이상관람가,드라마,김용완,"마동석,권율,한예리,박성일,유지연"
20180507(),3,레슬러,2018-05-09,169068800,0.027000000000000003,-7527700,-0.043000000000000000895117313604032460716553032398223876953125,457164800,18959,-455,-0.023000000000000000478783679369598758057691156864166259765625,51657,156,258,한국,한국,(주)안나푸르나필름,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"드라마,코미디",김대웅,"유해진,김민재,이성경,나문희,성동일,진경,황우슬혜,김태훈,박규영,이한서,최유화,이예원"
20180507(),4,콰이어트 플레이스,2018-04-12,24339000,0.0040,-2103400,-0.08000000000000000166533453693773481063544750213623046875000,4511971849,2685,-242,-0.083000000000000001727784582072899866034276783466339111328125,518194,63,105,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"공포(호러),스릴러,드라마",존 크랜신스키,"에밀리 블런트,존 크랜신스키,노아 주프,밀리센트 시몬스"
20180507(),5,램페이지,2018-04-12,4516600,0.0010,-1910900,-0.297000000000000006182554468381340484484098851680755615234375,11946761609,535,-204,-0.276000000000000005745404152435185096692293882369995117187500,1384853,34,41,미국,미국,,워너브러더스 코리아(주),12세이상관람가,액션,브래드 페이튼,"드웨인 존슨,제프리 딘 모건,나오미 해리스,말린 애커맨,조 맨가니엘로,말리 쉘튼"
20180507(),6,레이디 버드,2018-04-04,4178600,0.0010,123900,0.031000000000000000645317133063372239121235907077789306640625,767361200,446,22,0.052000000000000001082467449009527626913040876388549804687500,94692,12,15,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"코미디,드라마",그레타 거윅,"시얼샤 로넌,로리 멧칼프,트레이시 렛츠"
20180507(),7,덕구,2018-04-05,2432400,0.0,767700,0.461000000000000009596490269103696846286766231060028076171875,2350940000,333,120,0.563000000000000011719791803699308729846961796283721923828125,309323,14,19,한국,한국,"(주)영화사두둥,(주)곰픽쳐스",메가박스중앙(주)플러스엠,전체관람가,드라마,방수인,"이순재,정지훈,장광,성병숙,차순배,박지윤,윤송아"
20180507(),8,블랙 팬서,2018-02-14,2699000,0.0,592000,0.281000000000000005849487560993793522357009351253509521484375,45875071457,311,76,0.323000000000000006723788192886104297940619289875030517578125,5398055,7,13,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,드라마,SF",라이언 쿠글러,"채드윅 보스만,마이클 B. 조던,루피타 뇽오,다네이 거라이라,마틴 프리먼,안젤라 바셋,포레스트 휘테커,앤디 서키스,레티티아 라이트,다니엘 칼루야,윈스턴 듀크"
20180507(),9,레디 플레이어 원,2018-03-28,2649000,0.0,-1115700,-0.296000000000000006161737786669618799351155757904052734375000,19884357671,303,-119,-0.282000000000000005870304242705515207489952445030212402343750,2249972,8,10,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,SF,어드벤처",스티븐 스필버그,"마크 라이런스,사이먼 페그,올리비아 쿡,타이 쉐리던,벤 멘델슨,T.J. 밀러"
20180507(),10,아기곰 보보 구출 대작전,2018-04-25,1086000,0.0,-193000,-0.151000000000000003143318938469974455074407160282135009765625,116923900,181,-17,-0.086000000000000001790234627208064921433106064796447753906250,16347,17,18,노르웨이,노르웨이,,와이드 릴리즈(주),전체관람가,애니메이션,라스무스 A. 실버르센,
