날짜,순위,영화명,개봉일,매출액,매출액점유율,매출액증감(전일대비),매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20180115(),1,1987,2017-12-27,978581700,0.311,-2483531900,-0.717000000000000014925560787304448240320198237895965576171875,47624421645,128997,-281885,-0.686000000000000014280243654241076001198962330818176269531250,5915956,1015,4222,한국,한국,(주)우정필름,씨제이이앤엠(주),15세이상관람가,드라마,장준환,"김윤석,하정우,유해진,김태리,박희순,이희준,설경구,여진구,유정호,윤재국,지웅배,정재윤,이가영,이동욱,이동희,이상준,이태형,최광일,강동원,문소리,문성근,김원진,남민우,이주영,임병우,김시은,김기태,정재윤,황성준,서현우,조민준"
20180115(),2,코코,2018-01-11,796652800,0.253,-1789343900,-0.692000000000000014405143744511406111996620893478393554687500,7803401496,105194,-206372,-0.662000000000000013780643293159755558008328080177307128906250,955177,1000,3563,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,리 언크리치,"가엘 가르시아 베르날,앤서니 곤잘레스,벤자민 브랫"
20180115(),3,신과함께-죄와 벌,2017-12-20,747381200,0.237,-1669143100,-0.691000000000000014384327062799684426863677799701690673828125,104034932937,100000,-188913,-0.654000000000000013614109839465982076944783329963684082031250,12944211,910,3501,한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,차태현,주지훈,김향기,마동석,김동욱,도경수,오달수,임원희,장광,정해균,김수안,이정재,김해숙,이경영,김하늘,최용훈,강소백,정수윤,이수봉,이승준,이지향,김태준,정지훈,예수정,김기태,성유빈,오희준,이준혁"
20180115(),4,쥬만지: 새로운 세계,2018-01-03,327245750,0.10400000000000001,-744740450,-0.695000000000000014467593789646571167395450174808502197265625,12680310891,42915,-85727,-0.666000000000000013863910020006642298540100455284118652343750,1561924,618,1995,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,"액션,어드벤처",제이크 캐스단,"드웨인 존슨,잭 블랙,케빈 하트,카렌 길런"
20180115(),5,위대한 쇼맨,2017-12-20,106900300,0.034,-94140600,-0.468000000000000009742207041085748642217367887496948242187500,10041442200,13580,-9673,-0.416000000000000008659739592076221015304327011108398437500000,1225061,237,454,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"드라마,뮤지컬",마이클 그레이시,"휴 잭맨,잭 에프런,미쉘 윌리엄스,레베카 퍼거슨,젠다야 콜맨"
20180115(),6,다운사이징,2018-01-11,81037900,0.026000000000000002,-172565600,-0.68000000000000001415534356397074589040130376815795898437500,1128438104,10623,-18672,-0.637000000000000013260226250366713429684750735759735107421875,136056,451,1132,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"드라마,코미디",알렉산더 페인,"맷 데이먼,크리스틴 위그,크리스토프 왈츠,제이슨 서디키스"
20180115(),7,페르디난드,2018-01-03,34215800,0.011000000000000001,-132502200,-0.795000000000000016549261960818739680689759552478790283203125,3643342700,5214,-16648,-0.762000000000000015862311464331924071302637457847595214843750,501229,299,412,미국,미국,,이십세기폭스코리아(주),전체관람가,"애니메이션,어드벤처,코미디",카를로스 살다나,"존 시나,케이트 맥키넌,데이비드 테넌트,바비 카나베일,미구엘 앙겔 실베스트르,지나 로드리게즈"
20180115(),8,강철비,2017-12-14,36320100,0.012,-52753600,-0.592000000000000012323475573339237598702311515808105468750000,35406967766,4808,-5968,-0.554000000000000011532441668293813563650473952293395996093750,4441054,181,290,한국,한국,"(주)와이웍스엔터테인먼트,(주)모팩",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,드라마",양우석,"정우성,곽도원,김갑수,김의성,이경영,조우진,정원중,김명곤,박은혜,김지호,안미나,원진아,정유나,이상민,이정호,정환,한승헌,박민희"
20180115(),9,그것만이 내 세상,2018-01-17,21013000,0.006999999999999999,21013000,1.00000000000000002081668171172168513294309377670288085937500,122214000,2357,2357,1.00000000000000002081668171172168513294309377670288085937500,14364,12,12,한국,한국,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,"코미디,드라마",최성현,"이병헌,윤여정,박정민,한지민,김성령,이주영,최리"
20180115(),10,식스 빌로우,2018-01-25,5254000,0.0020,5254000,1.00000000000000002081668171172168513294309377670288085937500,5254000,645,645,1.00000000000000002081668171172168513294309377670288085937500,645,4,4,미국,미국,,주식회사 디에스이이디,12세이상관람가,"드라마,스릴러",스캇 워프,"조쉬 하트넷,미라 소르비노"
20180115(),11,하이큐!! 콘셉트의 싸움,2018-01-11,3713500,0.0010,-5738500,-0.607000000000000012635725799015062875696457922458648681640625,64371500,520,-717,-0.58000000000000001207367539279857737710699439048767089843750,8777,76,112,일본,일본,,(주)팝엔터테인먼트,12세이상관람가,애니메이션,미츠나카 스스무,
20180115(),12,나폴레옹과 데지레,,572000,0.0,-186000,-0.245000000000000005100087019371812857571057975292205810546875,4868000,281,-98,-0.259000000000000005391520563335916449432261288166046142578125,2421,1,5,미국,미국,,,,"드라마,멜로/로맨스",헨리 코스터,"말론 브란도,진 시몬스"
