날짜,순위,영화명,개봉일,매출액,매출액점유율,매출액증감(전일대비),매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20180503(목),1,어벤져스: 인피니티 워,2018-04-25,2340404400,0.828,-114245500,-0.047000000000000000978384040450919201248325407505035400390625,56936843031,265430,-11537,-0.042000000000000000874300631892310775583609938621520996093750,6520003,2138,10192,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,SF","안소니 루소,조 루소","로버트 다우니 주니어,조슈 브롤린,마크 러팔로,톰 히들스턴,크리스 에반스,크리스 헴스워스,제레미 레너,스칼렛 요한슨,엘리자베스 올슨,안소니 마키,폴 러드,기네스 팰트로우,폴 베타니,돈 치들,베네딕트 컴버배치,톰 홀랜드,크리스 프랫,조 샐다나,카렌 길런,브래들리 쿠퍼,빈 디젤,데이브 바티스타,세바스찬 스탠,채드윅 보스만,코비 스멀더스,베니치오 델 토로,피터 딘클리지,사무엘 L. 잭슨,다네이 거라이라,베네딕트 왕"
20180503(목),2,챔피언,2018-05-01,431615800,0.153,-68339600,-0.137000000000000002851885394505870863213203847408294677734375,2063030300,54305,-8525,-0.136000000000000002831068712794149178080260753631591796875000,260555,815,3698,한국,한국,(주)코코너,워너브러더스 코리아(주),12세이상관람가,드라마,김용완,"마동석,권율,한예리,박성일,유지연"
20180503(목),3,레슬러,2018-05-09,15735500,0.0060,-18387500,-0.539000000000000011220191442617988286656327545642852783203125,90745500,1898,-2186,-0.535000000000000011136924715771101546124555170536041259765625,11160,15,15,한국,한국,(주)안나푸르나필름,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"드라마,코미디",김대웅,"유해진,김민재,이성경,나문희,성동일,진경,황우슬혜,김태훈,박규영,이한서,최유화,이예원"
20180503(목),4,콰이어트 플레이스,2018-04-12,7019100,0.0020,277100,0.041000000000000000853483950180589090450666844844818115234375,4428155649,862,41,0.05000000000000000104083408558608425664715468883514404296875,508878,47,69,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"공포(호러),스릴러,드라마",존 크랜신스키,"에밀리 블런트,존 크랜신스키,노아 주프,밀리센트 시몬스"
20180503(목),5,덕구,2018-04-05,4382900,0.0020,2697600,1.601000000000000033327507420466417897841893136501312255859375,2341574100,603,274,0.833000000000000017340295865864163715741597115993499755859375,307961,18,32,한국,한국,"(주)영화사두둥,(주)곰픽쳐스",메가박스중앙(주)플러스엠,전체관람가,드라마,방수인,"이순재,정지훈,장광,성병숙,차순배,박지윤,윤송아"
20180503(목),6,램페이지,2018-04-12,3206200,0.0010,-4105900,-0.562000000000000011698975121987587044714018702507019042968750,11925048596,419,-540,-0.563000000000000011719791803699308729846961796283721923828125,1382256,36,48,미국,미국,,워너브러더스 코리아(주),12세이상관람가,액션,브래드 페이튼,"드웨인 존슨,제프리 딘 모건,나오미 해리스,말린 애커맨,조 맨가니엘로,말리 쉘튼"
20180503(목),7,크리미널 스쿼드,2018-04-19,4365000,0.0020,3260000,2.95000000000000006140921104957897114218212664127349853515625,231203400,415,304,2.739000000000000057016891208405695579131133854389190673828125,27958,5,5,미국,미국,,(주)이수C&E;,15세이상관람가,"범죄,액션",크리스찬 구드가스트,"제라드 버틀러,파블로 쉬레이버"
20180503(목),8,레디 플레이어 원,2018-03-28,2753900,0.0010,1016700,0.585000000000000012177758801357185802771709859371185302734375,19873245471,408,189,0.863000000000000017964796317215814269729889929294586181640625,2248693,43,45,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,SF,어드벤처",스티븐 스필버그,"마크 라이런스,사이먼 페그,올리비아 쿡,타이 쉐리던,벤 멘델슨,T.J. 밀러"
20180503(목),9,번개맨과 신비의 섬,2018-04-05,1955000,0.0010,1151000,1.432000000000000029809488211185453110374510288238525390625000,483889700,383,224,1.409000000000000029330704531815854352316819131374359130859375,60181,4,4,한국,한국,"힘컨텐츠(주),한국교육방송공사 EBS","힘컨텐츠(주),(주)디스테이션",전체관람가,"가족,뮤지컬",김지열,"서홍석,유수호,최오식,이상철,김수미"
20180503(목),10,아기곰 보보 구출 대작전,2018-04-25,1753000,0.0010,-1549300,-0.469000000000000009763023722797470327350310981273651123046875,110763300,333,-190,-0.363000000000000007556455461354971703258343040943145751953125,15392,8,8,노르웨이,노르웨이,,와이드 릴리즈(주),전체관람가,애니메이션,라스무스 A. 실버르센,
20180503(목),11,소돔과 고모라,1974-04-25,478000,0.0,478000,1.00000000000000002081668171172168513294309377670288085937500,6935000,239,239,1.00000000000000002081668171172168513294309377670288085937500,3496,1,3,미국,"미국,이탈리아,프랑스",,,,"드라마,어드벤처,사극",로버트 알드리치,"스튜어트 그랜저,피어 안젤리,아누크 에메"
20180503(목),12,블랙 팬서,2018-02-14,1913500,0.0010,218000,0.129000000000000002685351940812097382149659097194671630859375,45865989457,232,20,0.094000000000000001956768080901838402496650815010070800781250,5397037,6,10,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,드라마,SF",라이언 쿠글러,"채드윅 보스만,마이클 B. 조던,루피타 뇽오,다네이 거라이라,마틴 프리먼,안젤라 바셋,포레스트 휘테커,앤디 서키스,레티티아 라이트,다니엘 칼루야,윈스턴 듀크"
