날짜,순위,영화명,개봉일,매출액,매출액점유율,매출액증감(전일대비),매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20180616(토),1,쥬라기 월드: 폴른 킹덤,2018-06-06,2716880179,0.366,1678863969,1.617000000000000033660574327853964859968982636928558349609375,39797594639,298353,185730,1.649000000000000034326708142629058784223161637783050537109375,4496063,1231,6255,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,SF",후안 안토니오 바요나,"크리스 프랫,브라이스 달라스 하워드,제프 골드블럼,저스티스 스미스,토비 존스,B.D. 웡,테드 레빈,제임스 크롬웰,라프 스팰,제랄딘 채플린,마이클 파파존,카밀 레미에쉐브스키,다니엘라 피네다,로버트 엠스"
20180616(토),2,탐정: 리턴즈,2018-06-13,2578455044,0.348,1458901018,1.303000000000000027124136270373355728224851191043853759765625,6628544470,288726,161696,1.273000000000000026499635819021705174236558377742767333984375,759140,1033,5044,한국,한국,(주)크리픽쳐스,씨제이이앤엠(주),15세이상관람가,"코미디,범죄",이언희,"권상우,성동일,이광수,서영희,이일화,남명렬,손담비,최성원,김동욱,박성일,오희준"
20180616(토),3,오션스8,2018-06-13,1384203021,0.187,610628731,0.789000000000000016424361870548409569892100989818572998046875,4491980411,150590,66228,0.785000000000000016341095143701522829360328614711761474609375,500820,788,3784,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,범죄",게리 로스,"산드라 블록,케이트 블란쳇,앤 해서웨이,민디 캘링,사라 폴슨,아콰피나,리한나,헬레나 본햄 카터"
20180616(토),4,독전,2018-05-22,490609377,0.066,255135713,1.083000000000000022544466293794584998977370560169219970703125,41040282713,53825,27559,1.049000000000000021836699115596047704457305371761322021484375,4780234,549,1562,한국,한국,(주)용필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,액션",이해영,"조진웅,류준열,김주혁,김성령,박해준,차승원,이주영,김태준,서현우"
20180616(토),5,아이 필 프리티,2018-06-06,104308700,0.013999999999999999,44734700,0.751000000000000015633327965502985534840263426303863525390625,1510669900,11211,4690,0.719000000000000014967194150727891610586084425449371337890625,170044,158,472,미국,미국,,(주)홈초이스,15세이상관람가,코미디,아비 콘,"에이미 슈머,미쉘 윌리엄스"
20180616(토),6,유전,2018-06-07,69450500,0.009000000000000001,25329300,0.574000000000000011948775302528247266309335827827453613281250,1256999825,7548,2782,0.584000000000000012156942119645464117638766765594482421875000,142670,127,213,미국,미국,,(주)팝엔터테인먼트,15세이상관람가,공포(호러),아리 애스터,"토니 콜렛,가브리엘 번,알렉스 울프,밀리 샤피로"
20180616(토),7,데드풀 2,2018-05-16,20164000,0.0030,5118200,0.34000000000000000707767178198537294520065188407897949218750,34108847339,2136,468,0.281000000000000005849487560993793522357009351253509521484375,3775924,52,83,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"액션,어드벤처,코미디,SF",데이빗 레이치,"라이언 레놀즈,조슈 브롤린,재지 비츠,모레나 바카린,브리아나 힐데브란드"
20180616(토),8,허스토리,2018-06-27,11699500,0.0020,3692500,0.461000000000000009596490269103696846286766231060028076171875,96939000,1417,640,0.824000000000000017152945730458668549545109272003173828125000,14102,6,6,한국,한국,(주)수필름,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,민규동,"김희애,김해숙,예수정,문숙,이용녀,김선영,김준한,이유영,안세하,손강국"
20180616(토),9,어벤져스: 인피니티 워,2018-04-25,10892300,0.0010,4982500,0.843000000000000017548462682981380567071028053760528564453125,99631591069,1207,557,0.857000000000000017839896226945484158932231366634368896484375,11185183,40,49,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,SF","안소니 루소,조 루소","로버트 다우니 주니어,조슈 브롤린,마크 러팔로,톰 히들스턴,크리스 에반스,크리스 헴스워스,제레미 레너,스칼렛 요한슨,엘리자베스 올슨,안소니 마키,폴 러드,기네스 팰트로우,폴 베타니,돈 치들,베네딕트 컴버배치,톰 홀랜드,크리스 프랫,조 샐다나,카렌 길런,브래들리 쿠퍼,빈 디젤,데이브 바티스타,세바스찬 스탠,채드윅 보스만,코비 스멀더스,베니치오 델 토로,피터 딘클리지,사무엘 L. 잭슨,다네이 거라이라,베네딕트 왕"
20180616(토),10,호비와 매직 아일랜드,2018-06-06,6789000,0.0010,5844000,6.184000000000000128730359705286900862120091915130615234375000,85319500,924,779,5.372000000000000111827214155368892534170299768447875976562500,12287,60,71,일본,일본,,(주)머스트씨무비릴리징컴퍼니,전체관람가,애니메이션,"카와마타 히로시,히로 타카시마",
20180616(토),11,피터 래빗,2018-05-16,7430100,0.0010,6647100,8.489000000000000176712811050805385093553923070430755615234375,2978400600,907,793,6.956000000000000144800837986736041784752160310745239257812500,384760,30,37,미국,"미국,영국,호주",,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,"애니메이션,가족",윌 글럭,"도널 글리슨,로즈 번,샘 닐"
20180616(토),12,버닝,2018-05-17,5362000,0.0010,87000,0.016000000000000000333066907387546962127089500427246093750000,4702078598,599,-15,-0.024000000000000000499600361081320443190634250640869140625000,526645,31,60,한국,한국,"파인하우스필름(주),나우필름(주)",CGV아트하우스,청소년관람불가,미스터리,이창동,"유아인,스티븐 연,전종서"
20180616(토),13,오페라의 유령,,541000,0.0,93000,0.208000000000000004329869796038110507652163505554199218750000,989000,268,44,0.196000000000000004080069615497450286056846380233764648437500,492,1,5,미국,미국,,,,"드라마,공포(호러),뮤지컬",아서 루빈,"수잔나 포스터,넬슨 에디"
