날짜,순위,영화명,개봉일,매출액,매출액점유율,매출액증감(전일대비),매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20180212(),1,조선명탐정: 흡혈괴마의 비밀,2018-02-08,688680700,0.504,-1838005100,-0.727000000000000015133727604421665091649629175662994384765625,8560421045,91433,-212800,-0.699000000000000014550860516493457907927222549915313720703125,1056887,1165,5889,한국,한국,청년필름(주),(주)쇼박스,12세이상관람가,"사극,어드벤처,코미디",김석윤,"김명민,오달수,김지원,김범,이민기,지웅배"
20180212(),2,그것만이 내 세상,2018-01-17,214763400,0.157,-503209500,-0.701000000000000014592493879916901278193108737468719482421875,26146363782,28443,-56277,-0.664000000000000013822276656583198928274214267730712890625000,3249148,674,2510,한국,한국,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,"코미디,드라마",최성현,"이병헌,윤여정,박정민,한지민,김성령,이주영,최리"
20180212(),3,코코,2018-01-11,129901700,0.095,-376550800,-0.744000000000000015487611193520933738909661769866943359375000,26142184616,17116,-43683,-0.718000000000000014946377469016169925453141331672668457031250,3312286,555,1373,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,리 언크리치,"가엘 가르시아 베르날,앤서니 곤잘레스,벤자민 브랫"
20180212(),4,인시디어스4: 라스트 키,2018-01-31,91854300,0.067,-95151800,-0.509000000000000010595690991266337732668034732341766357421875,4132824264,11923,-10197,-0.461000000000000009596490269103696846286766231060028076171875,532340,422,954,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,"공포(호러),미스터리,스릴러",애덤 로비텔,"스펜서 로크,린 샤예,조시 스튜어트,하비에르 보텟"
20180212(),5,신과함께-죄와 벌,2017-12-20,78851900,0.057999999999999996,-157063600,-0.666000000000000013863910020006642298540100455284118652343750,115152269837,10415,-17219,-0.623000000000000012968792706402609837823547422885894775390625,14344537,439,919,한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,차태현,주지훈,김향기,마동석,김동욱,도경수,오달수,임원희,장광,정해균,김수안,이정재,김해숙,이경영,김하늘,최용훈,강소백,정수윤,이수봉,이승준,이지향,김태준,정지훈,예수정,김기태,성유빈,오희준,이준혁"
20180212(),6,메이즈 러너: 데스 큐어,2018-01-17,39711400,0.028999999999999998,-54477600,-0.578000000000000012032042029375134006841108202934265136718750,18831533904,5155,-5896,-0.534000000000000011116108034059379860991612076759338378906250,2290608,189,358,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,SF,스릴러",웨스 볼,"딜런 오브라이언,토마스 생스터,카야 스코델라리오,이기홍"
20180212(),7,염력,2018-01-31,25764500,0.019,-54349800,-0.678000000000000014113710200547302520135417580604553222656250,7424848212,3459,-6195,-0.642000000000000013364309658925321855349466204643249511718750,981593,425,815,한국,한국,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"드라마,코미디",연상호,"류승룡,심은경,박정민,김민재,정유미,이승용,예수정"
20180212(),8,더 포리너,2018-02-07,21031600,0.015,-36043200,-0.632000000000000013156142841808105004020035266876220703125000,292696700,2674,-3895,-0.593000000000000012344292255050959283835254609584808349609375,35694,149,399,영국,"영국,중국",,"(주)더블앤조이픽쳐스,TCO(주)더콘텐츠온",15세이상관람가,"액션,스릴러",마틴 캠벨,"성룡,피어스 브로스넌"
20180212(),9,위대한 쇼맨,2017-12-20,19247100,0.013999999999999999,-24710900,-0.562000000000000011698975121987587044714018702507019042968750,11241386500,2396,-2498,-0.51000000000000001061650767297805941780097782611846923828125,1370704,65,112,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"드라마,뮤지컬",마이클 그레이시,"휴 잭맨,잭 에프런,미쉘 윌리엄스,레베카 퍼거슨,젠다야 콜맨"
20180212(),10,흥부: 글로 세상을 바꾼 자,2018-02-14,18280000,0.013000000000000001,18280000,1.00000000000000002081668171172168513294309377670288085937500,31318000,2269,2269,1.00000000000000002081668171172168513294309377670288085937500,3850,8,8,한국,한국,"(주)영화사 궁,(주)발렌타인필름",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,사극,조근현,"김규백,정우,김주혁,정진영,김원해,정상훈,정해인,곽동연,천우희,진구,지웅배,김태준,김현목"
