날짜,순위,영화명,개봉일,매출액,매출액점유율,매출액증감(전일대비),매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20180605(화),1,독전,2018-05-22,1265869800,0.662,310572100,0.325000000000000006765421556309547668206505477428436279296875,32501104522,155578,37890,0.322000000000000006702971511174382612807676196098327636718750,3804534,1413,7246,한국,한국,(주)용필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,액션",이해영,"조진웅,류준열,김주혁,김성령,박해준,차승원,이주영,김태준,서현우"
20180605(화),2,데드풀 2,2018-05-16,293064700,0.153,64624000,0.283000000000000005891120924417236892622895538806915283203125,33248296514,35156,7641,0.278000000000000005787037515858628466958180069923400878906250,3679677,742,3160,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"액션,어드벤처,코미디,SF",데이빗 레이치,"라이언 레놀즈,조슈 브롤린,재지 비츠,모레나 바카린,브리아나 힐데브란드"
20180605(화),3,어벤져스: 인피니티 워,2018-04-25,110038300,0.057999999999999996,32167500,0.413000000000000008597289546941055959905497729778289794921875,99390734269,12503,3866,0.448000000000000009325873406851314939558506011962890625000000,11157586,421,968,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,SF","안소니 루소,조 루소","로버트 다우니 주니어,조슈 브롤린,마크 러팔로,톰 히들스턴,크리스 에반스,크리스 헴스워스,제레미 레너,스칼렛 요한슨,엘리자베스 올슨,안소니 마키,폴 러드,기네스 팰트로우,폴 베타니,돈 치들,베네딕트 컴버배치,톰 홀랜드,크리스 프랫,조 샐다나,카렌 길런,브래들리 쿠퍼,빈 디젤,데이브 바티스타,세바스찬 스탠,채드윅 보스만,코비 스멀더스,베니치오 델 토로,피터 딘클리지,사무엘 L. 잭슨,다네이 거라이라,베네딕트 왕"
20180605(화),4,트루스 오어 데어,2018-05-22,64701900,0.034,17943100,0.384000000000000007993605777301127091050148010253906250000000,2574708300,7904,2231,0.393000000000000008180955912706622257246635854244232177734375,302245,333,715,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),스릴러",제프 와드로,"루시 헤일,타일러 포시,바이올렛 빈,놀런 제라드 펑크,헤이든 제토,브래디 스미스,샘 러너"
20180605(화),5,한 솔로: 스타워즈 스토리,2018-05-24,41558900,0.022000000000000002,11437600,0.38000000000000000791033905045424035051837563514709472656250,1941197978,4871,1318,0.371000000000000007722988915048745184321887791156768798828125,211374,340,654,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,SF",론 하워드,"엘든 이렌리치,에밀리아 클라크,폴 베타니,워윅 데이비스,우디 해럴슨,탠디 뉴튼,클린트 하워드"
20180605(화),6,버닝,2018-05-17,37998000,0.02,10123100,0.363000000000000007556455461354971703258343040943145751953125,4567375398,4531,1168,0.347000000000000007223388553967424741131253540515899658203125,511687,270,501,한국,한국,"파인하우스필름(주),나우필름(주)",CGV아트하우스,청소년관람불가,미스터리,이창동,"유아인,스티븐 연,전종서"
20180605(화),7,데자뷰,2018-05-30,22175900,0.012,3640600,0.196000000000000004080069615497450286056846380233764648437500,353879600,2966,513,0.209000000000000004350686477749832192785106599330902099609375,47325,380,754,한국,한국,"(주)스톰픽쳐스코리아,(주)원픽쳐스",씨네그루(주)키다리이엔티,15세이상관람가,"미스터리,스릴러",고경민,"남규리,이천희,이규한,정경호,동현배,김재범,조한선"
20180605(화),8,피터 래빗,2018-05-16,13063900,0.006999999999999999,3152600,0.318000000000000006619704784327495872275903820991516113281250,2845816000,1900,490,0.348000000000000007244205235679146426264196634292602539062500,367947,204,255,미국,"미국,영국,호주",,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,"애니메이션,가족",윌 글럭,"도널 글리슨,로즈 번,샘 닐"
20180605(화),9,탐정: 리턴즈,2018-06-13,13059000,0.006999999999999999,13059000,1.00000000000000002081668171172168513294309377670288085937500,56797000,1451,1451,1.00000000000000002081668171172168513294309377670288085937500,6285,9,9,한국,한국,(주)크리픽쳐스,씨제이이앤엠(주),15세이상관람가,"코미디,범죄",이언희,"권상우,성동일,이광수,서영희,이일화,남명렬,손담비,최성원,김동욱,박성일,오희준"
20180605(화),10,아이 필 프리티,2018-06-06,9305500,0.0050,9305500,1.00000000000000002081668171172168513294309377670288085937500,10497500,1433,1433,1.00000000000000002081668171172168513294309377670288085937500,1582,24,41,미국,미국,,(주)홈초이스,15세이상관람가,코미디,아비 콘,"에이미 슈머,미쉘 윌리엄스"
20180605(화),11,유전,2018-06-07,8253000,0.0040,6984000,5.504000000000000114575016141316154971718788146972656250000000,10782000,917,776,5.504000000000000114575016141316154971718788146972656250000000,1184,4,4,미국,미국,,(주)팝엔터테인먼트,15세이상관람가,공포(호러),아리 애스터,"토니 콜렛,가브리엘 번,알렉스 울프,밀리 샤피로"
20180605(화),12,꼬마영웅 바비,2018-05-30,5513700,0.0030,1384900,0.335000000000000006973588373426764519535936415195465087890625,128058300,909,273,0.429000000000000008930356454328602922032587230205535888671875,16639,140,149,중국,중국,,와이드 릴리즈(주),전체관람가,"애니메이션,어드벤처,코미디",지안밍 후앙,"김주호,김명준,김민성,최낙윤,안현서,이인석"
20180605(화),13,쥬라기 월드: 폴른 킹덤,2018-06-06,11856000,0.0060,11856000,1.00000000000000002081668171172168513294309377670288085937500,11856000,624,624,1.00000000000000002081668171172168513294309377670288085937500,624,1,1,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,SF",후안 안토니오 바요나,"크리스 프랫,브라이스 달라스 하워드,제프 골드블럼,저스티스 스미스,토비 존스,B.D. 웡,테드 레빈,제임스 크롬웰,라프 스팰,제랄딘 채플린,마이클 파파존,카밀 레미에쉐브스키,다니엘라 피네다,로버트 엠스"
20180605(화),14,극장판 페어리 테일: 드래곤 크라이,2018-05-31,1656500,0.0010,379500,0.297000000000000006182554468381340484484098851680755615234375,40174900,216,49,0.293000000000000006099287741534453743952326476573944091796875,4791,65,85,일본,일본,,씨제이이앤엠(주),12세이상관람가,애니메이션,미나미카와 타츠마,
20180605(화),15,변산,2018-07-04,1488000,0.0010,-4080000,-0.733000000000000015258627694691995202447287738323211669921875,7056000,186,-742,-0.80000000000000001665334536937734810635447502136230468750000,1114,1,1,한국,한국,변산문화산업전문(유),메가박스중앙(주)플러스엠,15세이상관람가,드라마,이준익,"박정민,김고은,장항선,고준,신현빈,정규수,김준한,배제기,최정헌,한별,김형주,차순배,신문성,이세랑"
20180605(화),16,셰이프 오브 워터: 사랑의 모양,2018-02-22,1544500,0.0010,1544500,1.00000000000000002081668171172168513294309377670288085937500,4208946400,185,185,1.00000000000000002081668171172168513294309377670288085937500,506136,6,6,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"어드벤처,판타지",기예르모 델 토로,"샐리 호킨스,마이클 섀넌,리차드 젠킨스,더그 존스,마이클 스털버그,옥타비아 스펜서"
20180605(화),17,초대녀,2018-06-05,996000,0.0010,996000,1.00000000000000002081668171172168513294309377670288085937500,996000,180,180,1.00000000000000002081668171172168513294309377670288085937500,180,21,21,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,최우성,
20180605(화),18,미켈란젤로 : 사랑과 죽음,2018-05-31,1677000,0.0010,306000,0.223000000000000004642120021713935784646309912204742431640625,18197000,165,2,0.012000000000000000249800180540660221595317125320434570312500,1786,17,17,영국,영국,,메가박스중앙(주),전체관람가,다큐멘터리,데이비드 비커스태프,
20180605(화),19,오직 남자들만 무덤으로 간다,,725000,0.0,725000,1.00000000000000002081668171172168513294309377670288085937500,1504000,147,147,1.00000000000000002081668171172168513294309377670288085937500,304,2,2,아랍에미리트연합국정부,아랍에미리트연합국정부,,,,드라마,,
20180605(화),20,택시운전사,2017-08-02,600000,0.0,600000,1.00000000000000002081668171172168513294309377670288085937500,95865272649,120,120,1.00000000000000002081668171172168513294309377670288085937500,12188485,1,1,한국,한국,더램프(주),(주)쇼박스,15세이상관람가,드라마,장훈,"이수민,송강호,토마스 크레취만,유해진,류준열,박혁권,최귀화,이창섭,이호균,서정우,송병철,안용우,오석규,윤석진,이새별,이성호,이정은,이주영,황민형,김신웅,김진상,김화목,문광식,차순배,김대현,서현우"
20180605(화),21,지금 만나러 갑니다,2018-03-14,952000,0.0,952000,1.00000000000000002081668171172168513294309377670288085937500,20795140128,119,119,1.00000000000000002081668171172168513294309377670288085937500,2601418,1,1,한국,한국,"(주)무비락,(주)도서관옆스튜디오,(주)푸른나무픽쳐스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,멜로/로맨스,이장훈,"소지섭,손예진,김지환,고창석,이유진,김현수,배유람,이준혁,서정연,손여은"
20180605(화),22,라지아,,575000,0.0,575000,1.00000000000000002081668171172168513294309377670288085937500,954000,115,115,1.00000000000000002081668171172168513294309377670288085937500,193,1,1,모로코,"모로코,프랑스,벨기에",,,,드라마,,
20180605(화),23,순수한 사람들,,745000,0.0,745000,1.00000000000000002081668171172168513294309377670288085937500,5188000,110,110,1.00000000000000002081668171172168513294309377670288085937500,769,6,6,이탈리아,"이탈리아,프랑스",,,15세이상관람가,기타,,"로라 안토넬리,지안 카를로 지아니니,제니퍼 오닐"
20180605(화),24,마징가 Z: 인피니티,2018-05-17,720000,0.0,-20000,-0.027000000000000000562050406216485498589463531970977783203125,179440900,72,-2,-0.027000000000000000562050406216485498589463531970977783203125,21989,2,2,일본,일본,,(주)이수C&E;,12세이상관람가,"애니메이션,SF,액션",시미즈 준지,"모리쿠보 쇼타로,카야노 아이,김영선,홍시호,이지현,정미숙,소연,김혜성,권혁수,문관일,강구한,이창민,김은연,최낙윤,서반석,박성영,곽윤상,이승행,정의한"
20180605(화),25,선인장,,291000,0.0,291000,1.00000000000000002081668171172168513294309377670288085937500,1125000,59,59,1.00000000000000002081668171172168513294309377670288085937500,228,2,2,이집트,"이집트,기타",,,,드라마,,
20180605(화),26,토스카,2018-05-05,1205500,0.0010,1205500,1.00000000000000002081668171172168513294309377670288085937500,30304000,47,47,1.00000000000000002081668171172168513294309377670288085937500,1307,5,5,미국,미국,,(주)인스터피씨엠,12세이상관람가,공연,,
20180605(화),27,레슬러,2018-05-09,359600,0.0,21300,0.063000000000000001311450947838466163375414907932281494140625,6467363057,46,3,0.07000000000000000145716771982051795930601656436920166015625,769145,11,14,한국,한국,(주)안나푸르나필름,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"드라마,코미디",김대웅,"유해진,김민재,이성경,나문희,성동일,진경,황우슬혜,김태훈,박규영,이한서,최유화,이예원"
20180605(화),28,튀니지의 샬라,,225000,0.0,55000,0.324000000000000006744604874597825983073562383651733398437500,873000,45,9,0.25000000000000000520417042793042128323577344417572021484375,179,1,1,기타,기타,,,,드라마,,
20180605(화),29,레마겐의 철교,,84000,0.0,84000,1.00000000000000002081668171172168513294309377670288085937500,84000,42,42,1.00000000000000002081668171172168513294309377670288085937500,42,1,1,미국,미국,,,,"액션,전쟁",존 길러민,"조지 시걸,로버트 본,벤 가자라"
20180605(화),30,뷰티 앤 더 독스,,141000,0.0,-469000,-0.769000000000000016008028236313975867233239114284515380859375,1730000,29,-93,-0.762000000000000015862311464331924071302637457847595214843750,351,1,1,기타,"기타,프랑스,스웨덴,노르웨이,카타르,스위스",,,,드라마,,
20180605(화),31,덕구,2018-04-05,140000,0.0,140000,1.00000000000000002081668171172168513294309377670288085937500,2374901700,28,28,1.00000000000000002081668171172168513294309377670288085937500,313259,1,1,한국,한국,"(주)영화사두둥,(주)곰픽쳐스",메가박스중앙(주)플러스엠,전체관람가,드라마,방수인,"이순재,정지훈,장광,성병숙,차순배,박지윤,윤송아"
20180605(화),31,보디히트,1982-02-12,56000,0.0,56000,1.00000000000000002081668171172168513294309377670288085937500,2382000,28,28,1.00000000000000002081668171172168513294309377670288085937500,1097,1,1,미국,미국,,,연소자관람불가,"범죄,드라마,스릴러",로렌스 캐스단,"윌리엄 허트,캐슬린 터너,리차드 크레나,테드 댄슨"
20180605(화),33,챔피언,2018-05-01,182000,0.0,-735000,-0.802000000000000016694978732800791476620361208915710449218750,9466389230,26,-105,-0.802000000000000016694978732800791476620361208915710449218750,1128068,1,1,한국,한국,(주)코코너,워너브러더스 코리아(주),12세이상관람가,드라마,김용완,"마동석,권율,한예리,박성일,유지연"
20180605(화),34,와지브,,109000,0.0,-191000,-0.637000000000000013260226250366713429684750735759735107421875,855000,23,-37,-0.617000000000000012843892616132279727025888860225677490234375,174,1,1,팔레스타인,"팔레스타인,프랑스,독일,콜롬비아,노르웨이,기타,아랍에미리트연합국정부",,,,드라마,,
20180605(화),35,멈춰 선 시간,,70000,0.0,70000,1.00000000000000002081668171172168513294309377670288085937500,70000,15,15,1.00000000000000002081668171172168513294309377670288085937500,15,1,1,이탈리아,이탈리아,,,,드라마,에르마노 올미,
20180605(화),36,위대한 쇼맨,2017-12-20,113300,0.0,19000,0.201000000000000004184153024056058711721561849117279052734375,11509958500,14,4,0.40000000000000000832667268468867405317723751068115234375000,1402595,1,3,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"드라마,뮤지컬",마이클 그레이시,"휴 잭맨,잭 에프런,미쉘 윌리엄스,레베카 퍼거슨,젠다야 콜맨"
20180605(화),37,레이디 버드,2018-04-04,117000,0.0,20000,0.206000000000000004288236432614667137386277318000793457031250,826783500,13,2,0.182000000000000003788636071533346694195643067359924316406250,101617,1,2,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"코미디,드라마",그레타 거윅,"시얼샤 로넌,로리 멧칼프,트레이시 렛츠"
