,Rank,Title,Studio,Total Gross,Theaters,Opening,Theaters.1,Open,Close,link,genre
19,20,San Andreas,WB (NL),"$155,190,832","3,812","$54,588,173","3,777",5-29,10-15,/movies/?id=sanandreas.htm,Action
20,21,Mad Max: Fury Road,WB,"$153,636,354","3,722","$45,428,128","3,702",5-15,9-24,/movies/?id=furyroad.htm,"May 15, 2015"
21,22,Daddy's Home,Par.,"$150,357,137","3,483","$38,740,203","3,271",12-25,4-7,/movies/?id=daddyshome.htm,Comedy
22,23,The Divergent Series: Insurgent,LG/S,"$130,179,072","3,875","$52,263,680","3,875",3-20,7-9,/movies/?id=insurgent.htm,Action / Adventure
23,24,The Peanuts Movie,Fox,"$130,178,411","3,902","$44,213,073","3,897",11-6,3-31,/movies/?id=peanuts2015.htm,Animation
24,25,Kingsman: The Secret Service,Fox,"$128,261,724","3,282","$36,206,331","3,204",2-13,7-9,/movies/?id=secretservice.htm,Action / Adventure
25,26,The Good Dinosaur,BV,"$123,087,120","3,749","$39,155,217","3,749",11-25,4-7,/movies/?id=pixar2013.htm,Animation
26,27,Spy,Fox,"$110,825,712","3,715","$29,085,719","3,711",6-5,10-8,/movies/?id=susancooper.htm,Comedy
27,28,Trainwreck,Uni.,"$110,212,700","3,171","$30,097,040","3,158",7-17,10-15,/movies/?id=trainwreck15.htm,Comedy
28,29,Creed,WB (NL),"$109,767,581","3,502","$29,632,823","3,404",11-25,3-3,/movies/?id=creed.htm,Drama
29,30,Tomorrowland,BV,"$93,436,322","3,972","$33,028,165","3,972",5-22,9-17,/movies/?id=1952.htm,Sci-Fi
30,31,Get Hard,WB,"$90,411,453","3,212","$33,803,253","3,175",3-27,7-9,/movies/?id=gethard.htm,Comedy
31,32,Terminator: Genisys,Par.,"$89,760,956","3,783","$27,018,486","3,758",7-1,9-17,/movies/?id=terminator2015.htm,Action
32,33,Taken 3,Fox,"$89,256,424","3,594","$39,201,657","3,594",1-9,5-14,/movies/?id=taken3.htm,Action
33,34,Sisters,Uni.,"$87,044,645","2,978","$13,922,855","2,962",12-18,3-10,/movies/?id=nest.htm,Comedy
34,35,Alvin and the Chipmunks: The Road Chip,Fox,"$85,886,987","3,705","$14,287,159","3,653",12-18,5-19,/movies/?id=alvin4.htm,Family Comedy
35,36,Maze Runner: The Scorch Trials,Fox,"$81,697,192","3,792","$30,316,510","3,791",9-18,1-21,/movies/?id=mazerunner2.htm,Action / Adventure
36,37,Ted 2,Uni.,"$81,476,385","3,448","$33,507,870","3,442",6-26,8-27,/movies/?id=ted2.htm,Comedy
37,38,Goosebumps,Sony,"$80,080,379","3,618","$23,618,556","3,501",10-16,2-18,/movies/?id=goosebumps.htm,Horror Comedy
38,39,Pixels,Sony,"$78,747,585","3,723","$24,011,616","3,723",7-24,11-8,/movies/?id=pixels.htm,Action Comedy
39,40,Paddington,W/Dim.,"$76,271,832","3,355","$18,966,676","3,303",1-16,6-18,/movies/?id=paddington.htm,Family
40,41,The Intern,WB,"$75,764,672","3,320","$17,728,313","3,305",9-25,1-7,/movies/?id=intern.htm,Comedy
41,42,Bridge of Spies,BV,"$72,313,754","2,873","$15,371,203","2,811",10-16,3-10,/movies/?id=coldwar2015.htm,Thriller
42,43,Paul Blart: Mall Cop 2,Sony,"$71,038,190","3,633","$23,762,435","3,633",4-17,8-2,/movies/?id=paulblart2.htm,Comedy
43,44,The Big Short,Par.,"$70,259,870","2,529","$705,527",8,12-11,4-7,/movies/?id=bigshort.htm,Drama
44,45,War Room,TriS,"$67,790,117","1,945","$11,351,389","1,135",8-28,12-13,/movies/?id=warroom2015.htm,Drama
45,46,Magic Mike XXL,WB,"$66,013,057","3,376","$12,857,184","3,355",7-1,9-24,/movies/?id=magicmike2.htm,Comedy / Drama
46,47,The Visit,Uni.,"$65,206,105","3,148","$25,427,560","3,069",9-11,11-26,/movies/?id=blumhouse2015.htm,Horror
47,48,The Wedding Ringer,SGem,"$64,460,211","3,003","$20,649,306","3,003",1-16,4-5,/movies/?id=kevinhart15.htm,Comedy
48,49,Black Mass,WB,"$62,575,678","3,188","$22,635,037","3,188",9-18,12-3,/movies/?id=whiteybulger15.htm,Crime Drama
49,50,Vacation,WB (NL),"$58,884,188","3,430","$14,681,108","3,411",7-29,10-29,/movies/?id=newline15.htm,Comedy
50,51,The Perfect Guy,SGem,"$57,027,435","2,230","$25,888,154","2,221",9-11,12-3,/movies/?id=perfectguy.htm,Thriller
51,52,Joy,Fox,"$56,451,232","2,924","$17,015,168","2,896",12-25,3-17,/movies/?id=joy.htm,Comedy / Drama
52,53,Fantastic Four,Fox,"$56,117,548","4,004","$25,685,737","3,995",8-7,10-22,/movies/?id=fantasticfour15.htm,Action / Adventure
