순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
39 ,신비한 동물사전,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-11-16,개봉영화,장편,미국,"1,431 ",39337263058,"4,666,993 ",12640487458,"1,425,528 ",어드벤처,12세이상관람가,상업영화
40 ,판도라,박정우,(주)씨에이씨엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),2016-12-07,개봉영화,장편,한국,"1,166 ",35965733064,"4,571,142 ",7213559964,"880,999 ",드라마,12세이상관람가,상업영화
41 ,강철비,양우석,"(주)와이웍스엔터테인먼트,(주)모팩",,(주)넥스트엔터테인먼트월드(NEW),2017-12-14,개봉영화,장편,한국,"1,426 ",35478002466,"4,451,351 ",8694723516,"1,060,541 ",액션,15세이상관람가,상업영화
42 ,아가씨,박찬욱,"유한회사 아가씨에프에스,(주)모호필름,(주)용필름",,씨제이이앤엠(주),2016-06-01,개봉영화,장편,한국,"1,171 ",35114332791,"4,277,071 ",10881501871,"1,283,972 ",스릴러,청소년관람불가,상업영화
43 ,꾼,장창원,(주)영화사두둥,,(주)쇼박스,2017-11-22,개봉영화,장편,한국,"1,314 ",31313568795,"4,018,341 ",7524464445,"931,901 ",범죄,15세이상관람가,상업영화
44 ,쿵푸팬더3,"여인영,알레산드로 칼로니",드림웍스 애니메이션,씨제이이앤엠(주),씨제이이앤엠(주),2016-01-28,개봉영화,장편,미국,"1,365 ",31340798156,"3,984,812 ",8695148256,"1,045,418 ",애니메이션,전체관람가,상업영화
45 ,조선명탐정 : 사라진 놉의 딸,김석윤,청년필름(주),,(주)쇼박스,2015-02-11,개봉영화,장편,한국,811 ,30456879428,"3,872,015 ",6908501928,"845,522 ",사극,12세이상관람가,상업영화
46 ,매드 맥스: 분노의 도로,조지 밀러,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-05-14,개봉영화,장편,미국,799 ,32906364462,"3,842,441 ",11443176062,"1,271,954 ",액션,15세이상관람가,상업영화
47 ,남한산성,황동혁,(주)싸이런픽쳐스,,씨제이이앤엠(주),2017-10-03,개봉영화,장편,한국,"1,229 ",31067321992,"3,829,891 ",7375553392,"889,444 ",사극,15세이상관람가,상업영화
48 ,미이라,알렉스 커츠먼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-06-06,개봉영화,장편,미국,"1,257 ",30504689978,"3,689,325 ",7851059428,"909,202 ",액션,15세이상관람가,상업영화
49 ,분노의 질주: 더 익스트림,F. 게리 그레이,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-04-12,개봉영화,장편,미국,"1,469 ",29981156348,"3,653,238 ",7936210998,"932,027 ",액션,15세이상관람가,상업영화
50 ,너의 이름은.,신카이 마코토,,(주)미디어캐슬,메가박스중앙(주)플러스엠,2017-01-04,개봉영화,장편,일본,947 ,29248867156,"3,637,122 ",9352306256,"1,124,392 ",애니메이션,12세이상관람가,상업영화
51 ,인턴,낸시 마이어스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-09-24,개봉영화,장편,미국,496 ,28518443148,"3,610,642 ",10024307548,"1,228,273 ",코미디,12세이상관람가,상업영화
52 ,라라랜드,데이미언 셔젤,,판씨네마(주),판씨네마(주),2016-12-07,개봉영화,장편,미국,727 ,30006844694,"3,597,193 ",13131083194,"1,536,629 ",드라마,12세이상관람가,상업영화
53 ,귀향,조정래,주식회사 제이오엔터테인먼트코리아,,(주)와우픽쳐스,2016-02-24,개봉영화,장편,한국,876 ,27245051990,"3,586,523 ",6310471892,"801,788 ",드라마,15세이상관람가,상업영화
54 ,슈퍼배드 3,"피에르 꼬팽,카일 발다",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-07-26,개봉영화,장편,미국,"1,057 ",24216987019,"3,324,861 ",5558252919,"723,552 ",애니메이션,전체관람가,상업영화
55 ,데드풀,팀 밀러,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-02-17,개봉영화,장편,미국,"1,036 ",27595618651,"3,317,196 ",9150924002,"1,062,535 ",액션,청소년관람불가,상업영화
56 ,아이 캔 스피크,김현석,"주식회사 영화사 시선,(주)명필름",,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",2017-09-21,개봉영화,장편,한국,"1,140 ",25532214986,"3,280,243 ",6409220686,"796,658 ",코미디,12세이상관람가,상업영화
57 ,스타워즈: 깨어난 포스,J.J. 에이브럼스,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-12-17,개봉영화,장편,미국,940 ,28353796331,"3,273,879 ",9631617574,"1,047,074 ",액션,12세이상관람가,상업영화
58 ,분노의 질주: 더 세븐,제임스 완,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-04-01,개봉영화,장편,미국,983 ,26449334694,"3,247,558 ",7328474894,"864,171 ",액션,15세이상관람가,상업영화
