score,review,time,released,﻿순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
10,감독이 천재인가.. 모든장면이 다 이유가 있엇다는거,2017.05.17 02:29,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
10,관람객아무리 설명해줘도 모를거야 진심 직접 봐야함,2017.05.17 13:29,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
10,겟아웃이 '여기서 꺼져'가 아니라 '여길 나가'였을줄은...,2017.05.20 01:53,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
8,"관람객나름 신선한소재, 약간 후반부가 빠르게 정리된느낌으로... 아쉽게끝이나네요..",2017.05.17 23:55,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
10,관람객교통경찰이최고시다!!!,2017.05.17 22:58,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
8,예고편 보고 보지 마세요,2017.05.17 10:38,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
9,여자애가 우유랑 콘푸로스트 따로먹는게 백인이랑 유색인종이랑은 섞일 수 없다는걸 암시한다는 리뷰 보고 경악했다 ㅋㅋ,2017.05.23 16:18,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
10,관람객오랜만에 보는 천재적인 영화,2017.05.17 13:57,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
8,마지막까지 친구가 배신하는줄ㅋㅋ,2017.05.18 16:46,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
10,관람객남자 주인공 진짜 매력쩜ㅋㅋㅋ첫장면부터 훠우~! 소리지르게됨 (물론 속으로),2017.05.17 14:06,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
10,관람객영화는 시종일관 음울한 분위기를 유도한다. 보는내내 불편한 기분이 들지만 그와는 별개로 짜임새있는 구성과 지속적으로 던져지는 떡밥에 왜? 저런 장면이 나오는가 하며 영화에 몰입하게 만든다. 영화를 보고나면 누군가와 얘기하고 싶어서 참을수 없을것이다.,2017.05.17 21:27,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
10,Picking cotton 솜을뜯다 = 목화를따다 같은 의미를 두고있는데 이를 이용해 흑인들이 목화를 따며 생명을 연장하듯 솜을 뜯으며 생명을 연장하는 연출을 보며 천재적인 연출에 소름이 쫘아아악~~ 모든 장면이 의미 있었음,2017.05.21 11:43,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
10,감독이 관객한테 던져놓은 과제가 수십가지..,2017.05.17 02:46,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
10,감독이 숨겨놓은 연결고리들과 나오는 사람들 표정하나하나 왜그랬는지 알면 개소름,2017.05.17 10:45,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
10,한시간 반짜리 영화인데 무슨 30분 영화인줄 엄청 몰입감 최고였다.,2017.05.18 13:53,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
