Rank,Title,Studio,Total Gross,Theaters,Opening,Theaters,Open,Close,link
34,Sisters,Uni.,"$87,044,645","2,978","$13,922,855","2,962",12-18,3-10,/movies/?id=nest.htm
35,Alvin and the Chipmunks: The Road Chip,Fox,"$85,886,987","3,705","$14,287,159","3,653",12-18,5-19,/movies/?id=alvin4.htm
36,Maze Runner: The Scorch Trials,Fox,"$81,697,192","3,792","$30,316,510","3,791",9-18,1-21,/movies/?id=mazerunner2.htm
37,Ted 2,Uni.,"$81,476,385","3,448","$33,507,870","3,442",6-26,8-27,/movies/?id=ted2.htm
38,Goosebumps,Sony,"$80,080,379","3,618","$23,618,556","3,501",10-16,2-18,/movies/?id=goosebumps.htm
39,Pixels,Sony,"$78,747,585","3,723","$24,011,616","3,723",7-24,11-8,/movies/?id=pixels.htm
40,Paddington,W/Dim.,"$76,271,832","3,355","$18,966,676","3,303",1-16,6-18,/movies/?id=paddington.htm
41,The Intern,WB,"$75,764,672","3,320","$17,728,313","3,305",9-25,1-7,/movies/?id=intern.htm
42,Bridge of Spies,BV,"$72,313,754","2,873","$15,371,203","2,811",10-16,3-10,/movies/?id=coldwar2015.htm
43,Paul Blart: Mall Cop 2,Sony,"$71,038,190","3,633","$23,762,435","3,633",4-17,8-2,/movies/?id=paulblart2.htm
44,The Big Short,Par.,"$70,259,870","2,529","$705,527",8,12-11,4-7,/movies/?id=bigshort.htm
45,War Room,TriS,"$67,790,117","1,945","$11,351,389","1,135",8-28,12-13,/movies/?id=warroom2015.htm
46,Magic Mike XXL,WB,"$66,013,057","3,376","$12,857,184","3,355",7-1,9-24,/movies/?id=magicmike2.htm
47,The Visit,Uni.,"$65,206,105","3,148","$25,427,560","3,069",9-11,11-26,/movies/?id=blumhouse2015.htm
48,The Wedding Ringer,SGem,"$64,460,211","3,003","$20,649,306","3,003",1-16,4-5,/movies/?id=kevinhart15.htm
49,Black Mass,WB,"$62,575,678","3,188","$22,635,037","3,188",9-18,12-3,/movies/?id=whiteybulger15.htm
50,Vacation,WB (NL),"$58,884,188","3,430","$14,681,108","3,411",7-29,10-29,/movies/?id=newline15.htm
51,The Perfect Guy,SGem,"$57,027,435","2,230","$25,888,154","2,221",9-11,12-3,/movies/?id=perfectguy.htm
52,Joy,Fox,"$56,451,232","2,924","$17,015,168","2,896",12-25,3-17,/movies/?id=joy.htm
