순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
1,거미줄에 걸린 소녀,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,"1,912",1.157E+11,"14,410,931",27530825087,"3,346,172",판타지,12세이상관람가,상업영화
2,리벤져,류승완,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2015-08-05,개봉영화,장편,한국,"1,064",1.05025E+11,"13,395,400",26766369950,"3,290,366",액션,15세이상관람가,상업영화
3,안개속소녀,최동훈,(주)케이퍼필름,,(주)쇼박스,2015-07-22,개봉영화,장편,한국,"1,519",98463132781,"12,705,700",25306651181,"3,155,960",액션,15세이상관람가,상업영화
