score,review,time,released,﻿순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
10,관람객완전 취향저격!! 겁나 귀엽고 재밌고 다함 ㅋㅋㅋㅋ 동물들 시선에서 보는 것도 재밌고 캐릭터들이 다 개성이 강함 ㅋㅋ 미니언즈 특별 영상도 진짜 넘나 귀여운것 ㅠㅠ 내 미니언즈 ㅠㅠ,2016.08.03 19:17,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
10,관람객하... 맥스같은 강쥐키우는 20대 자매 둘이 같이 봤는데이렇게 감동적이고 재밌고 유익하다니..반려견 가족 영화 진짜 최고에요ㅎㅎ 박수치면서 나왔다는,2016.08.03 15:56,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
10,똘끼 충만한 스노우볼과 반전 매력의 펫들이 너무 귀여움,2016.08.03 17:57,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
10,관람객너무 귀여워!!!걍 말이 필요없음 강아지를 키운다면 꼭 보시길,2016.08.03 22:41,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
8,관람객서람들에게 버려진 유기견들의 애환이 잘 표현된 배울점이 많은 애니메이션이였습니다 재미와 감동이 공존하는 알찬 용화요~~^^*,2016.08.03 18:01,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
8,관람객예쁜그림 꿀잼 ~~ 귀욤,2016.08.03 10:19,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
9,관람객하얀강아지가 친구를 찾으려는 의지! 그 우정에 갈채를... It was very fun!,2016.08.03 22:25,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
10,너무너무 재밌게 봤습니다. 아이도 신나게 보고 저도 신나게 봤네요..^^,2016.08.03 11:55,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
8,더빙이 아니라 자막으로 보는 게 더 나았을듯.... 강아지들이 너무 귀여움.,2016.08.03 11:41,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
7,재밌는데 제발 애들 데려올거면 더빙보세요 제발... 너무 시끄러워요,2016.08.07 05:31,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
10,역시 자막으로 보길 잘 했습니다!^^ 보는내내 귀여움에 계속 웃음나오고 영화관 내에 사람들 대부분이 상영중에 즐거워들 하시네요 다른 대작들에 스크린수가 적은게 아쉬울정도로 너무 재밌게 봤습니다^^,2016.08.03 21:53,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
10,관람객넘나 귀여운것 ㅠㅠㅠㅠ 역시 우리집 멍뭉이는 나를 놀아주는 거였다 ㅋㅋㅋㅋ 진짜 캐릭터 하나하나 다 매력터지고 꿀잼!! 보구나서 더 기분 좋아지는 영화!!,2016.08.03 19:13,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
