score,review,time,released
score,review,time,released
8,관람객전작들과 책을 보지 않아서 영화를 보며 내용을 유추한 점이 아쉬웠지만 주인공의 액션과 심장을 옥죄는 분위기가 좋았다,2018.11.28 23:02,True
10,유럽산 007 보는듯하고 끝까지 긴장감 있음,2018.11.28 22:13,True
8,친절하진 않지만 쫀쫀하게 잘 짜여있는 스릴러? 북유럽의 창백한 화면이랑 잘 어울린다. 미쟝센이 너무강하다 싶은 부분도 있었지만 재밌게 봤다.,2018.11.28 15:28,True
10,루니 마라는 잊어버리고 클레어 포이의 리즈베트만 머리에 남았다. 슬프면서도 결연한 눈망울!!! 더 이상의 리스베트를 상상할 수 없게됐다,2018.11.28 18:26,True
10,리즈베트 존멋임 꼭보세요~~,2018.12.03 02:43,True
9,기대 크게 안하고 봤는데 생각보다 짜임새 좋고 은근 스릴도 있었음..,2018.12.03 01:20,True
7,관람객원작 팬으로 스웨덴서 나온 3부작도 좋았고 핀처의 여자를 증오한~ 도 좋아한다. 나는 공포 영화 팬으로 페데 알바레즈의 필모를 좋아한다. 이번 거미줄의~ 영화는 좋아하는 감독과 애증의 소설 4부(?)라는 기이한 조합인데 개연성 남발이 아쉽더라.,2018.12.02 12:51,True
10,쌈빡하고 군더더기 없는 깔끔한 영화. 가정폭력에 의한 두 자매의 나비효과가 여러가지를 생각하게 한다,2018.11.30 05:01,True
10,완전 재미있는 영화..2시간이 순삭임...강추함..,2018.11.30 02:18,True
8,관람객주인공 연기좋아요 근데 상영관이 없어서 불편,2018.11.29 16:09,True
7,주인공 캐릭터를 살리는 스토리였으면 좋았을텐데..첫 등장때 멋있었어요,2018.11.29 13:20,True
7,리스베트가 해야할 일들을 주변 인물들이 해버리는 전개 때문에 전반적으로 어수선합니다. 사운드와 분위기는 괜찮지만 개연성과 이야기 구조에 균열이 있기에 많이 아쉽네요.,2018.11.28 23:25,True
8,상영관도 별로 없고 .. 이 작품 재밌는데 ㅠㅠ,2018.12.02 22:30,True
10,상영관 늘려라 개봉주에 상영관 지금저녁8신데 한군데도 없다는게 말이되냐 모하는거야 이거 진짜sb~!!!!,2018.12.01 19:49,True
10,확실한 액션 잼나요!!,2018.12.01 02:03,True
9,볼만합니다 스토리라인 좋고 긴박감느껴지고 액션좋구 액션미스테리로 짱입니다~,2018.11.29 20:03,True
10,완벽하다. 인생 영화. 시원시원하면서도 예상치 못한 전개. 그 동안의 액션 영화와는 확실히 다르다.,2018.11.28 23:59,True
10,정말 마음에 드는 영화였으나 하나 아쉬웠던게 있다면 밀레니엄시리즈를 조금 보고 이 영화를 봤으며 거미줄에 걸린 소녀를 좀 더 깊이 이해할 수 있었을것같다는 게 있네요. 처음 보실 분들은 밀레니엄 시리즈를 보시고 봐 보시는 것이 좋을것 같다 생각해요^^,2018.11.28 23:18,True
10,이언니 톰크루즈 여자판이다 말뿐인 허세는 집어치우고 몸으로 보여주는 액션! 그린델 뭐시기 보고 조니뎁 허세떠는것이 유치했다면 이건 사이다 였다 이언니 멋있어!! 스토리도 지루하지 않고 긴장감있게 잘 짜여져 있고 배경음악이 대박 잘어울려 ㅋ,2018.11.28 22:32,True
10,상영시간 대가 좀 많아졌으면 ..,2018.12.03 10:20,True
10,상영관 확대 좀 해주세요~ 최고!,2018.12.02 12:43,True
6,"엄청난 파일 비번을아버지는왜/나사는나사가빠졌군/나사직원은투잡뜀/리스베트가그바쁜와중에장난도치네/기자우정출연/동생은빠빠빨간맛그게다임,궁금해리스펙트왜나만?/스웨덴+미국/책을안읽어서말야/오프닝이좋더라",2018.11.30 15:31,True
10,007 설정인데 주연들 다 여자라 완전 새롭고 재밌음!,2018.12.02 23:49,True
10,구성도 스토리도 아주 좋았어요.볼만한 영화로 강추함,2018.12.02 22:51,True
10,클레어 포이 너무 매력적이에요. 대사가 없어도 감정선이 잘 느껴져서 너무 재밌게 봤습니다,2018.12.02 20:11,True
9,과거는 블랙홀이다...제목에 이끌려 보게 되는 이 영화의 상징같은 대사. 긴장감과 몰입감 휼륭하다!,2018.12.02 12:45,True
10,"최고다. 이런 류의 영화가 많이 나왔으면,",2018.12.02 06:26,True
10,"책이 더 재미있지만, 영화도,, 굿",2018.12.02 03:43,True
10,미친.. 여자주인공님 완전 내스타일 같은여자에서 설레이고 치이고 왜 잘생겼냐고!! 사랑해요 ㅠㅠ 마지막 장면에서 울때..ㅜㅜ 한번더 보고싶어,2018.12.02 00:07,True
10,책으로 보고 영화로보고 참 좋아하는 이야기. 영화도 잘만든거같아 기분이좋음 ㅎㅎ 상영관이 매우 적고.. 있더라도 사람많이없을시간대에 해서 좀 그랬음 상영관에 4명밖에없을정도로 홍보가안된것같음..꿀잼인데,2018.12.01 23:57,True
10,간지난다영화 자체가 간지,2018.12.01 22:14,True
