Rank,Title,Studio, Total Gross ,Theaters,Opening,Theaters.1,Open,Close,link,genre
49,Hidden Figures,Fox,169607287,"3,416","$515,499",25,12-25,11-9,/movies/?id=hiddenfigures.htm,Drama
50,Kong: Skull Island,WB,168052812,"3,846","$61,025,472","3,846",3-10,6-15,/movies/?id=legendary2016.htm,Action / Adventure
51,Fifty Shades of Grey,Uni.,166167230,"3,655","$85,171,450","3,646",2-13,5-7,/movies/?id=fiftyshadesofgrey.htm,Romance
52,The SpongeBob Movie: Sponge Out of Water,Par.,162994032,"3,680","$55,365,012","3,641",2-6,5-28,/movies/?id=spongebob2.htm,Animation
53,Jason Bourne,Uni.,162434410,"4,039","$59,215,365","4,026",7-29,12-22,/movies/?id=bourne5.htm,Action
54,Straight Outta Compton,Uni.,161197785,"3,142","$60,200,180","2,757",8-14,10-22,/movies/?id=straightouttacompton.htm,Drama
55,Star Trek Beyond,Par.,158848340,"3,928","$59,253,211","3,928",7-22,10-20,/movies/?id=startrek2016.htm,Sci-Fi Adventure
56,X-Men: Apocalypse,Fox,155442489,"4,153","$65,769,562","4,150",5-27,7-28,/movies/?id=x-men2016.htm,Action / Adventure
57,San Andreas,WB (NL),155190832,"3,812","$54,588,173","3,777",5-29,10-15,/movies/?id=sanandreas.htm,Action
58,Trolls,Fox,153707064,"4,066","$46,581,142","4,060",11-4,3-30,/movies/?id=trolls.htm,Animation
59,Mad Max: Fury Road,WB,153636354,"3,722","$45,428,128","3,702",5-15,9-24,/movies/?id=furyroad.htm,"May 15, 2015"
60,Cars 3,BV,152901115,"4,256","$53,688,680","4,256",6-16,11-2,/movies/?id=cars3.htm,Animation
61,La La Land,LG/S,151101803,"3,236","$881,104",5,12-9,4-27,/movies/?id=lalaland.htm,Musical
62,Daddy's Home,Par.,150357137,"3,483","$38,740,203","3,271",12-25,4-7,/movies/?id=daddyshome.htm,Comedy
63,War for the Planet of the Apes,Fox,146880162,"4,100","$56,262,929","4,022",7-14,11-30,/movies/?id=planetoftheapes16.htm,Sci-Fi Action
64,Kung Fu Panda 3,Fox,143528619,"3,987","$41,282,042","3,955",1-29,7-21,/movies/?id=kungfupanda3.htm,Animation
65,Split,Uni.,138291365,"3,373","$40,010,975","3,038",1-20,5-11,/movies/?id=split2017.htm,Horror Thriller
66,Wonder,LGF,132422809,"3,519","$27,547,866","3,096",11-17,3-22,/movies/?id=wonder.htm,Drama
67,The Divergent Series: Insurgent,LG/S,130179072,"3,875","$52,263,680","3,875",3-20,7-9,/movies/?id=insurgent.htm,Action / Adventure
68,The Peanuts Movie,Fox,130178411,"3,902","$44,213,073","3,897",11-6,3-31,/movies/?id=peanuts2015.htm,Animation
69,Transformers: The Last Knight,Par.,130168683,"4,132","$44,680,073","4,069",6-21,8-24,/movies/?id=transformers5.htm,Sci-Fi Action
70,Ghostbusters (2016),Sony,128350574,"3,963","$46,018,755","3,963",7-15,11-10,/movies/?id=ghostbusters2016.htm,Horror Comedy
71,Kingsman: The Secret Service,Fox,128261724,"3,282","$36,206,331","3,204",2-13,7-9,/movies/?id=secretservice.htm,Action / Adventure
72,Central Intelligence,WB (NL),127440871,"3,508","$35,535,250","3,508",6-17,9-1,/movies/?id=centralintelligence.htm,Comedy
73,The Legend of Tarzan,WB,126643061,"3,591","$38,527,856","3,561",7-1,9-15,/movies/?id=tarzan2016.htm,Action / Adventure
74,Sully,WB,125070033,"3,955","$35,028,301","3,525",9-9,1-26,/movies/?id=sully.htm,Drama
75,The Good Dinosaur,BV,123087120,"3,749","$39,155,217","3,749",11-25,4-7,/movies/?id=pixar2013.htm,Animation
76,Girls Trip,Uni.,115171585,"2,648","$31,201,920","2,591",7-21,10-19,/movies/?id=girltrip.htm,Comedy
77,Fifty Shades Darker,Uni.,114581250,"3,714","$46,607,250","3,710",2-10,4-6,/movies/?id=fiftyshadesdarker.htm,Romance
78,Bad Moms,STX,113257297,"3,215","$23,817,340","3,215",7-29,10-27,/movies/?id=untitledlucasmoore.htm,Comedy
79,Spy,Fox,110825712,"3,715","$29,085,719","3,711",6-5,10-8,/movies/?id=susancooper.htm,Comedy
80,Trainwreck,Uni.,110212700,"3,171","$30,097,040","3,158",7-17,10-15,/movies/?id=trainwreck15.htm,Comedy
81,Creed,WB (NL),109767581,"3,502","$29,632,823","3,404",11-25,3-3,/movies/?id=creed.htm,Drama
82,Baby Driver,TriS,107825862,"3,226","$20,553,320","3,226",6-28,10-19,/movies/?id=babydriver.htm,Action / Crime
83,The Angry Birds Movie,Sony,107509366,"3,932","$38,155,177","3,932",5-20,9-15,/movies/?id=angrybirds.htm,Animation
84,Pitch Perfect 3,Uni.,104897530,"3,468","$19,928,525","3,447",12-22,3-8,/movies/?id=pitchperfect3.htm,Comedy
85,Daddy's Home 2,Par.,104029443,"3,575","$29,651,193","3,575",11-10,2-15,/movies/?id=daddyshome2.htm,Comedy
86,Independence Day: Resurgence,Fox,103144286,"4,130","$41,039,944","4,130",6-24,9-15,/movies/?id=id42.htm,Sci-Fi Adventure
87,Murder on the Orient Express (2017),Fox,102826543,"3,354","$28,681,472","3,341",11-10,-,/movies/?id=murderorientexpress17.htm,Thriller
88,The Conjuring 2,WB (NL),102470008,"3,356","$40,406,314","3,343",6-10,8-25,/movies/?id=conjuring2.htm,Horror
89,Annabelle: Creation,WB (NL),102092201,"3,565","$35,006,404","3,502",8-11,11-2,/movies/?id=annabelle2.htm,Horror
90,Arrival,Par.,100546139,"3,115","$24,074,047","2,317",11-11,3-9,/movies/?id=arrival2016.htm,Sci-Fi
91,Kingsman: The Golden Circle,Fox,100234838,"4,038","$39,023,010","4,003",9-22,1-4,/movies/?id=kingsman2.htm,Action Comedy
92,Passengers (2016),Sony,100014699,"3,478","$14,869,736","3,478",12-21,4-20,/movies/?id=passengers2016.htm,Sci-Fi
93,Sausage Party,Sony,97685686,"3,135","$34,263,534","3,103",8-12,12-22,/movies/?id=sausageparty.htm,Animation
94,Tomorrowland,BV,93436322,"3,972","$33,028,165","3,972",5-22,9-17,/movies/?id=1952.htm,Sci-Fi
95,The Magnificent Seven (2016),Sony,93432655,"3,696","$34,703,397","3,674",9-23,1-5,/movies/?id=themagnificentseven.htm,Western
96,Blade Runner 2049,WB,92054159,"4,058","$32,753,122","4,058",10-6,2-1,/movies/?id=bladerunnersequel.htm,Sci-Fi
97,John Wick: Chapter Two,LG/S,92029184,"3,113","$30,436,123","3,113",2-10,4-27,/movies/?id=johnwick2.htm,Action
98,Ride Along 2,Uni.,91221830,"3,192","$35,243,095","3,175",1-15,6-16,/movies/?id=ridealong2.htm,Action Comedy
99,Get Hard,WB,90411453,"3,212","$33,803,253","3,175",3-27,7-9,/movies/?id=gethard.htm,Comedy
100,Terminator: Genisys,Par.,89760956,"3,783","$27,018,486","3,758",7-1,9-17,/movies/?id=terminator2015.htm,Action
101,Taken 3,Fox,89256424,"3,594","$39,201,657","3,594",1-9,5-14,/movies/?id=taken3.htm,Action
102,Don't Breathe,SGem,89217875,"3,384","$26,411,706","3,051",8-26,12-22,/movies/?id=dontbreathe.htm,Horror Thriller
