Rank,Title,Studio, Total Gross ,Theaters,Opening,Theaters.1,Open,Close,link,genre
212,Ghost in the Shell (2017),Par.,40563557,"3,440","$18,676,033","3,440",3-31,5-25,/movies/?id=ghostintheshell2017.htm,Sci-Fi Action
213,Allied,Par.,40098064,"3,160","$12,701,743","3,160",11-23,1-26,/movies/?id=pittcotillard.htm,Romantic Thriller
214,King Arthur: Legend of the Sword,WB,39175066,"3,702","$15,371,270","3,702",5-12,7-20,/movies/?id=kingarthur2016.htm,Adventure
215,Nerve,LGF,38583626,"2,538","$9,445,456","2,538",7-27,10-6,/movies/?id=nerve.htm,Thriller
216,Brooklyn,FoxS,38322743,962,"$187,281",5,11-4,5-26,/movies/?id=brooklyn.htm,Drama
217,Jigsaw,LGF,38052832,"2,941","$16,640,452","2,941",10-27,12-21,/movies/?id=saw2017.htm,Horror
218,The Longest Ride,Fox,37446117,"3,371","$13,019,686","3,366",4-10,7-9,/movies/?id=thelongestride.htm,Romance
219,Risen,Sony,36880033,"2,915","$11,801,271","2,915",2-19,5-19,/movies/?id=risen.htm,Action / Adventure
220,The Nice Guys,WB,36261763,"2,865","$11,203,270","2,865",5-20,8-4,/movies/?id=niceguys.htm,Comedy Thriller
221,American Assassin,LGF,36249674,"3,154","$14,846,778","3,154",9-15,11-9,/movies/?id=americanassassin.htm,Action / Adventure
222,The Boy (2016),STX,35819556,"2,671","$10,778,392","2,671",1-22,3-31,/movies/?id=boy2016.htm,Horror
223,Dirty Grandpa,LGF,35593113,"2,912","$11,111,875","2,912",1-22,3-17,/movies/?id=dirtygrandpa.htm,Comedy
224,The Boy Next Door,Uni.,35423380,"2,615","$14,910,105","2,602",1-23,3-12,/movies/?id=boynextdoor.htm,Thriller
225,Ouija: Origin of Evil,Uni.,35144505,"3,168","$14,065,500","3,167",10-21,12-29,/movies/?id=blumhouse3.htm,Horror
226,Pan,WB,35088320,"3,515","$15,315,435","3,515",10-9,1-7,/movies/?id=pan.htm,Fantasy
227,The 5th Wave,Sony,34916787,"2,908","$10,326,356","2,908",1-22,5-26,/movies/?id=5thwave.htm,Sci-Fi Action
228,Hot Pursuit,WB (NL),34580201,"3,037","$13,942,258","3,003",5-8,7-30,/movies/?id=witherspoonvergara.htm,Comedy
229,Concussion (2015),Sony,34542474,"2,841","$10,513,749","2,841",12-25,3-17,/movies/?id=concussion2015.htm,Drama
230,The Foreigner,STX,34393507,"2,515","$13,113,024","2,515",10-13,12-21,/movies/?id=theforeigner.htm,Action Thriller
231,Inferno,Sony,34343574,"3,576","$14,860,425","3,576",10-28,1-19,/movies/?id=inferno2015.htm,Thriller
232,"Everything, Everything",WB,34121140,"2,801","$11,727,390","2,801",5-19,7-27,/movies/?id=everythingeverything.htm,Drama
233,The DUFF,LGF,34030343,"2,622","$10,809,149","2,575",2-20,5-14,/movies/?id=duff.htm,Comedy
234,Wind River,Wein.,33800859,"2,890","$161,558",4,8-4,12-7,/movies/?id=windriver.htm,Drama
235,Geostorm,WB,33700160,"3,246","$13,707,376","3,246",10-20,1-11,/movies/?id=geostorm.htm,Action
236,Monster Trucks,Par.,33370166,"3,119","$10,950,705","3,119",1-13,3-16,/movies/?id=monstertrucks.htm,Action Comedy
237,Woman in Gold,Wein.,33307793,"2,011","$2,091,551",258,4-1,8-13,/movies/?id=womaningold.htm,Drama
238,The Second Best Exotic Marigold Hotel,FoxS,33078266,"2,022","$8,540,370","1,573",3-6,6-25,/movies/?id=bestexotic2.htm,Comedy / Drama
239,Mother's Day,ORF,32492859,"3,291","$8,369,184","3,035",4-29,6-16,/movies/?id=mothersday.htm,Comedy
240,Unfriended,Uni.,32482090,"2,775","$15,845,115","2,739",4-17,5-28,/movies/?id=cybernatural.htm,Horror
241,Entourage,WB,32363404,"3,108","$10,283,250","3,108",6-3,8-13,/movies/?id=entourage.htm,Comedy
242,Fist Fight,WB (NL),32187017,"3,185","$12,201,873","3,185",2-17,4-13,/movies/?id=fistfight.htm,Comedy
243,How to be a Latin Lover,PNT,32149404,"1,203","$12,252,439","1,118",4-28,6-22,/movies/?id=howtobealatinlover.htm,Comedy
244,Paper Towns,Fox,32000304,"3,031","$12,650,140","3,031",7-24,10-15,/movies/?id=papertowns.htm,Drama
245,Patriots Day,LGF,31886361,"3,120","$161,306",7,12-21,3-9,/movies/?id=patriotsday.htm,Drama
246,Chappie,Sony,31569268,"3,201","$13,346,782","3,201",3-6,5-3,/movies/?id=chappie.htm,Sci-Fi Action
247,Gods of Egypt,LG/S,31153464,"3,117","$14,123,903","3,117",2-26,5-12,/movies/?id=godsofegypt.htm,Action / Adventure
248,Crimson Peak,Uni.,31090320,"2,991","$13,143,310","2,984",10-16,11-26,/movies/?id=crimsonpeak.htm,Horror
249,Collateral Beauty,WB (NL),31016021,"3,028","$7,102,085","3,028",12-16,2-9,/movies/?id=collateralbeauty.htm,Drama
250,Kidnap (2017),Aviron,30718107,"2,418","$10,016,323","2,378",8-4,11-16,/movies/?id=kidnap2015.htm,Action Thriller
251,"Hail, Caesar!",Uni.,30498085,"2,248","$11,355,225","2,232",2-5,6-30,/movies/?id=hailcaesar.htm,Comedy
252,Underworld: Blood Wars,SGem,30353973,"3,070","$13,688,751","3,070",1-6,3-9,/movies/?id=underworld5.htm,Action Horror
253,The Mountain Between Us,Fox,30348555,"3,259","$10,551,336","3,088",10-6,12-21,/movies/?id=mountainbetweenus.htm,Drama
254,Life (2017),Sony,30234022,"3,146","$12,501,936","3,146",3-24,6-1,/movies/?id=life2017.htm,Sci-Fi Thriller
255,"I, Tonya",Neon,30014539,"1,450","$264,155",4,12-8,4-19,/movies/?id=itonya.htm,Comedy
256,Hostiles,ENTMP,29819114,"2,934","$22,849",3,12-22,5-10,/movies/?id=hostiles.htm,Drama
257,When the Bough Breaks,SGem,29747603,"2,246","$14,202,323","2,246",9-9,11-17,/movies/?id=whentheboughbreaks.htm,Drama
258,A Walk in the Woods,BG,29504281,"2,158","$8,246,267","1,960",9-2,12-20,/movies/?id=walkinthewoods.htm,Comedy
259,Zoolander 2,Par.,28848693,"3,418","$13,841,146","3,394",2-12,3-31,/movies/?id=zoolander2.htm,Comedy
260,Point Break (2015),WB,28782481,"2,910","$9,800,252","2,910",12-25,2-25,/movies/?id=pointbreak2015.htm,Action
261,Molly's Game,STX,28780744,"1,708","$2,349,967",271,12-25,3-8,/movies/?id=mollysgame.htm,Drama
262,The Nut Job 2: Nutty by Nature,ORF,28370522,"4,003","$8,342,311","4,003",8-11,9-28,/movies/?id=nutjob2.htm,Animation
263,Moonlight (2016),A24,27854932,"1,564","$402,075",4,10-21,5-4,/movies/?id=moonlight2016.htm,Drama
264,Rings,Par.,27793018,"2,931","$13,002,632","2,931",2-3,3-23,/movies/?id=rings.htm,Horror
265,Logan Lucky,BST,27780977,"3,031","$7,600,036","3,031",8-18,11-9,/movies/?id=loganlucky.htm,Action Comedy
266,Sinister 2,Focus,27740955,"2,799","$10,542,116","2,766",8-21,10-29,/movies/?id=sinister2.htm,Horror
267,The Finest Hours,BV,27569558,"3,143","$10,288,932","3,143",1-29,4-7,/movies/?id=finesthours.htm,Thriller
268,Florence Foster Jenkins,Par.,27383770,"1,528","$6,601,313","1,528",8-12,10-27,/movies/?id=florencefosterjenkins.htm,Drama
269,The Last Witch Hunter,LG/S,27367660,"3,082","$10,812,861","3,082",10-23,12-31,/movies/?id=lastwitchhunter.htm,Action Fantasy
270,No Escape,Wein.,27288872,"3,415","$8,111,264","3,355",8-26,11-26,/movies/?id=coup.htm,Action
271,Home Again,ORF,27020284,"3,036","$8,567,881","2,940",9-8,11-9,/movies/?id=homeagain.htm,Romantic Comedy
272,Hell or High Water,LGF,27007844,"1,505","$621,329",32,8-12,11-17,/movies/?id=hellorhighwater.htm,Action Drama
273,Resident Evil: The Final Chapter,SGem,26830068,"3,104","$13,601,682","3,104",1-27,3-30,/movies/?id=residentevil6.htm,Sci-Fi Action
274,Ricki and the Flash,TriS,26822144,"2,064","$6,610,961","1,603",8-7,10-11,/movies/?id=rickiandtheflash.htm,Comedy / Drama
275,The Forest,Focus,26594261,"2,509","$12,741,176","2,451",1-8,3-17,/movies/?id=forest.htm,Horror
276,The Woman in Black 2: Angel of Death,Rela.,26501323,"2,602","$15,027,415","2,602",1-2,3-19,/movies/?id=womaninblack2.htm,Horror
277,Run All Night,WB,26461644,"3,171","$11,012,305","3,171",3-13,5-7,/movies/?id=runallnight.htm,Action
278,Ben-Hur (2016),Par.,26410477,"3,084","$11,203,815","3,084",8-19,10-6,/movies/?id=benhur2016.htm,Historical Epic
279,Love the Coopers,LGF,26302731,"2,603","$8,317,545","2,603",11-13,1-14,/movies/?id=lovethecoopers.htm,Comedy
280,The Lazarus Effect,Rela.,25801047,"2,666","$10,203,437","2,666",2-27,6-11,/movies/?id=lazarus.htm,Horror
281,The House,WB (NL),25584504,"3,134","$8,724,795","3,134",6-30,8-31,/movies/?id=thehouse.htm,Comedy
282,Ex Machina,A24,25442958,"2,004","$237,264",4,4-10,9-3,/movies/?id=exmachina.htm,Sci-Fi Thriller
283,The Witch,A24,25138705,"2,204","$8,800,230","2,046",2-19,5-26,/movies/?id=thewitch.htm,Horror
284,All the Money in the World,TriS,25113707,"2,123","$5,584,684","2,074",12-25,3-22,/movies/?id=allthemoneyintheworld.htm,Crime
285,In the Heart of the Sea,WB,25020758,"3,103","$11,053,366","3,103",12-11,2-11,/movies/?id=heartofthesea.htm,Drama
286,Gifted,FoxS,24801212,"2,215","$446,380",56,4-7,8-24,/movies/?id=gifted.htm,Drama
287,Downsizing,Par.,24449754,"2,668","$4,954,287","2,668",12-22,2-1,/movies/?id=downsizing.htm,Comedy / Drama
288,Bridget Jones's Baby,Uni.,24252420,"2,930","$8,571,785","2,927",9-16,12-15,/movies/?id=bridgetjonessbaby.htm,Romantic Comedy
289,Kevin Hart: What Now?,Uni.,23591043,"2,567","$11,767,210","2,567",10-14,12-15,/movies/?id=kevinhart2016.htm,Concert
290,The Gallows,WB (NL),22764410,"2,720","$9,808,463","2,720",7-10,9-17,/movies/?id=newlinehorror2015.htm,Horror
291,Hitman: Agent 47,Fox,22467450,"3,273","$8,326,530","3,261",8-21,10-15,/movies/?id=hitman47.htm,Action / Adventure
292,The Bye Bye Man,STX,22395806,"2,220","$13,501,349","2,220",1-13,2-16,/movies/?id=thebyebyeman.htm,Horror Thriller
293,Project Almanac,Par.,22348241,"2,900","$8,310,252","2,893",1-30,3-26,/movies/?id=almanac.htm,Sci-Fi
294,Victoria and Abdul,Focus,22245070,"1,060","$158,845",4,9-22,1-4,/movies/?id=victoriaandabdul.htm,Drama
295,Rough Night,Sony,22105643,"3,162","$8,004,283","3,162",6-16,8-31,/movies/?id=rockthatbody.htm,Comedy / Drama
296,My Little Pony: The Movie,LGF,21885107,"2,528","$8,885,899","2,528",10-6,-,/movies/?id=mylittlepony2017.htm,Animation
297,Leap!,Wein.,21858070,"2,705","$4,730,038","2,575",8-25,12-7,/movies/?id=leap.htm,"August 25, 2017"
298,Black or White,Rela.,21571189,"1,823","$6,213,362","1,823",1-30,5-14,/movies/?id=blackorwhite.htm,Drama
299,The Disaster Artist,A24,21120616,"1,010","$1,211,345",19,12-1,3-8,/movies/?id=thedisasterartist.htm,Comedy
300,Aloha,Sony,21067116,"2,815","$9,670,235","2,815",5-29,7-30,/movies/?id=crowe2014.htm,Comedy / Drama
