Rank,Title,Studio,Total Gross,Theaters,Opening,Theaters,Open,Close,link
62,All Eyez on Me,LG/S,"$44,922,302","2,471","$26,435,354","2,471",6-16,8-3,/movies/?id=tupac.htm
63,xXx: The Return of Xander Cage,Par.,"$44,898,413","3,651","$20,130,142","3,651",1-20,3-16,/movies/?id=xxx3.htm
64,47 Meters Down,ENTMP,"$44,307,192","2,471","$11,205,561","2,270",6-16,10-19,/movies/?id=47metersdown.htm
65,The Big Sick,LGF,"$42,873,127","2,597","$421,577",5,6-23,10-22,/movies/?id=thebigsick.htm
66,Valerian and the City of a Thousand Planets,STX,"$41,189,488","3,553","$17,007,624","3,553",7-21,9-21,/movies/?id=valerian.htm
67,The Star,Sony,"$40,852,824","2,976","$9,812,674","2,837",11-17,2-15,/movies/?id=thelamb.htm
68,Ghost in the Shell (2017),Par.,"$40,563,557","3,440","$18,676,033","3,440",3-31,5-25,/movies/?id=ghostintheshell2017.htm
69,King Arthur: Legend of the Sword,WB,"$39,175,066","3,702","$15,371,270","3,702",5-12,7-20,/movies/?id=kingarthur2016.htm
70,Jigsaw,LGF,"$38,052,832","2,941","$16,640,452","2,941",10-27,12-21,/movies/?id=saw2017.htm
71,American Assassin,LGF,"$36,249,674","3,154","$14,846,778","3,154",9-15,11-9,/movies/?id=americanassassin.htm
72,The Foreigner,STX,"$34,393,507","2,515","$13,113,024","2,515",10-13,12-21,/movies/?id=theforeigner.htm
73,"Everything, Everything",WB,"$34,121,140","2,801","$11,727,390","2,801",5-19,7-27,/movies/?id=everythingeverything.htm
74,Wind River,Wein.,"$33,800,859","2,890","$161,558",4,8-4,12-7,/movies/?id=windriver.htm
75,Geostorm,WB,"$33,700,160","3,246","$13,707,376","3,246",10-20,1-11,/movies/?id=geostorm.htm
76,Monster Trucks,Par.,"$33,370,166","3,119","$10,950,705","3,119",1-13,3-16,/movies/?id=monstertrucks.htm
77,Fist Fight,WB (NL),"$32,187,017","3,185","$12,201,873","3,185",2-17,4-13,/movies/?id=fistfight.htm
78,How to be a Latin Lover,PNT,"$32,149,404","1,203","$12,252,439","1,118",4-28,6-22,/movies/?id=howtobealatinlover.htm
79,Kidnap (2017),Aviron,"$30,718,107","2,418","$10,016,323","2,378",8-4,11-16,/movies/?id=kidnap2015.htm
80,Underworld: Blood Wars,SGem,"$30,353,973","3,070","$13,688,751","3,070",1-6,3-9,/movies/?id=underworld5.htm
81,The Mountain Between Us,Fox,"$30,348,555","3,259","$10,551,336","3,088",10-6,12-21,/movies/?id=mountainbetweenus.htm
82,Life (2017),Sony,"$30,234,022","3,146","$12,501,936","3,146",3-24,6-1,/movies/?id=life2017.htm
83,"I, Tonya",Neon,"$30,014,539","1,450","$264,155",4,12-8,4-19,/movies/?id=itonya.htm
84,Hostiles,ENTMP,"$29,819,114","2,934","$22,849",3,12-22,5-10,/movies/?id=hostiles.htm
85,Molly's Game,STX,"$28,780,744","1,708","$2,349,967",271,12-25,3-8,/movies/?id=mollysgame.htm
86,The Nut Job 2: Nutty by Nature,ORF,"$28,370,522","4,003","$8,342,311","4,003",8-11,9-28,/movies/?id=nutjob2.htm
87,Rings,Par.,"$27,793,018","2,931","$13,002,632","2,931",2-3,3-23,/movies/?id=rings.htm
88,Logan Lucky,BST,"$27,780,977","3,031","$7,600,036","3,031",8-18,11-9,/movies/?id=loganlucky.htm
89,Home Again,ORF,"$27,020,284","3,036","$8,567,881","2,940",9-8,11-9,/movies/?id=homeagain.htm
90,Resident Evil: The Final Chapter,SGem,"$26,830,068","3,104","$13,601,682","3,104",1-27,3-30,/movies/?id=residentevil6.htm
91,The House,WB (NL),"$25,584,504","3,134","$8,724,795","3,134",6-30,8-31,/movies/?id=thehouse.htm
92,All the Money in the World,TriS,"$25,113,707","2,123","$5,584,684","2,074",12-25,3-22,/movies/?id=allthemoneyintheworld.htm
93,Gifted,FoxS,"$24,801,212","2,215","$446,380",56,4-7,8-24,/movies/?id=gifted.htm
94,Downsizing,Par.,"$24,449,754","2,668","$4,954,287","2,668",12-22,2-1,/movies/?id=downsizing.htm
95,The Bye Bye Man,STX,"$22,395,806","2,220","$13,501,349","2,220",1-13,2-16,/movies/?id=thebyebyeman.htm
96,Victoria and Abdul,Focus,"$22,245,070","1,060","$158,845",4,9-22,1-4,/movies/?id=victoriaandabdul.htm
97,Rough Night,Sony,"$22,105,643","3,162","$8,004,283","3,162",6-16,8-31,/movies/?id=rockthatbody.htm
98,My Little Pony: The Movie,LGF,"$21,885,107","2,528","$8,885,899","2,528",10-6,-,/movies/?id=mylittlepony2017.htm
99,Leap!,Wein.,"$21,858,070","2,705","$4,730,038","2,575",8-25,12-7,/movies/?id=leap.htm
100,The Disaster Artist,A24,"$21,120,616","1,010","$1,211,345",19,12-1,3-8,/movies/?id=thedisasterartist.htm
Summary of 740 Movies on Chart:,,,,,,,,,
Totals:,"$11,124,653,510",-,-,-,-,-,,,
Averages:,"$15,033,316",-,-,-,-,-,,,
,,,,,,,,,
Next Year >,,,,,,,,,
