순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
94,내부자들: 디 오리지널,우민호,(유)내부자들 문화전문회사,,(주)쇼박스,2015-12-31,개봉영화,장편,한국,838,16973885275,"2,083,999",4701340971,"564,863",범죄,청소년관람불가,상업영화
95,로건,제임스 맨골드,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-03-01,개봉영화,장편,미국,954,17590962723,"2,070,084",5779445923,"655,286",액션,청소년관람불가,상업영화
96,뷰티 인사이드,백,(주)용필름,,(주)넥스트엔터테인먼트월드(NEW),2015-08-20,개봉영화,장편,한국,648,16152717131,"2,053,947",5031538031,"611,979",판타지,12세이상관람가,상업영화
97,혹성탈출: 종의 전쟁,맷 리브스,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-08-15,개봉영화,장편,미국,"1,017",16851234778,"2,050,909",4721118278,"538,479",액션,12세이상관람가,상업영화
98,봉이 김선달,박대민,"(주)엠픽처스,(주)에스엔케이픽처스",,씨제이이앤엠(주),2016-07-06,개봉영화,장편,한국,942,16172133642,"2,044,564",3545320462,"432,216",사극,12세이상관람가,상업영화
99,레버넌트: 죽음에서 돌아온 자,알레한드로 곤잘레스 이냐리투,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-01-14,개봉영화,장편,미국,967,16107288130,"2,007,180",5111304509,"613,536",어드벤처,15세이상관람가,상업영화
100,애나벨 : 인형의 주인,데이비드 F. 샌드버그,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-08-10,개봉영화,장편,미국,"1,006",15526858738,"1,934,192",3970570338,"472,569",공포(호러),15세이상관람가,상업영화
